Units,Timepoint,1.1: Special Drawing Rights,1.2: Reserve Position In The International Monetary Fund,1.3: Gold & Foreign Exchange,1: Total Official Foreign Reserves,2: Total Foreign Reserves
Million US Dollars,1974-03-31,,,,,2462.9
Million US Dollars,1974-04-30,,,,,2491.3
Million US Dollars,1974-05-31,,,,,2498.0
Million US Dollars,1974-06-30,,,,,2483.7
Million US Dollars,1974-07-31,,,,,2485.4
Million US Dollars,1974-08-31,,,,,2513.7
Million US Dollars,1974-09-30,,,,,2612.6
Million US Dollars,1974-10-31,,,,,2654.8
Million US Dollars,1974-11-30,,,,,2729.9
Million US Dollars,1974-12-31,,,,,2812.8
Million US Dollars,1975-01-31,,,,,2877.1
Million US Dollars,1975-02-28,,,,,3033.1
Million US Dollars,1975-03-31,,,,,3026.3
Million US Dollars,1975-04-30,,,,,3060.3
Million US Dollars,1975-05-31,,,,,3130.3
Million US Dollars,1975-06-30,,,,,3154.1
Million US Dollars,1975-07-31,,,,,2947.8
Million US Dollars,1975-08-31,,,,,2958.8
Million US Dollars,1975-09-30,,,,,2924.2
Million US Dollars,1975-10-31,,,,,3015.6
Million US Dollars,1975-11-30,,,,,2967.8
Million US Dollars,1975-12-31,,,,,3007.0
Million US Dollars,1976-01-31,,,,,3048.8
Million US Dollars,1976-02-29,,,,,3104.4
Million US Dollars,1976-03-31,,,,,3129.3
Million US Dollars,1976-04-30,,,,,3178.2
Million US Dollars,1976-05-31,,,,,3196.8
Million US Dollars,1976-06-30,,,,,3227.8
Million US Dollars,1976-07-31,,,,,3237.5
Million US Dollars,1976-08-31,,,,,3254.4
Million US Dollars,1976-09-30,,,,,3292.9
Million US Dollars,1976-10-31,,,,,3345.4
Million US Dollars,1976-11-30,,,,,3353.8
Million US Dollars,1976-12-31,,,,,3364.5
Million US Dollars,1977-01-31,,,,,3399.0
Million US Dollars,1977-02-28,,,,,3422.9
Million US Dollars,1977-03-31,,,,,3469.7
Million US Dollars,1977-04-30,,,,,3493.7
Million US Dollars,1977-05-31,,,,,3545.5
Million US Dollars,1977-06-30,,,,,3550.8
Million US Dollars,1977-07-31,,,,,3607.6
Million US Dollars,1977-08-31,,,,,3587.9
Million US Dollars,1977-09-30,,,,,3623.5
Million US Dollars,1977-10-31,,,,,3738.6
Million US Dollars,1977-11-30,,,,,3776.9
Million US Dollars,1977-12-31,,,,,3858.4
Million US Dollars,1978-01-31,,,,,3933.5
Million US Dollars,1978-02-28,,,,,3988.9
Million US Dollars,1978-03-31,,,,,4089.0
Million US Dollars,1978-04-30,,,,,4299.2
Million US Dollars,1978-05-31,,,,,4346.9
Million US Dollars,1978-06-30,,,,,4419.4
Million US Dollars,1978-07-31,,,,,4612.3
Million US Dollars,1978-08-31,,,,,4679.8
Million US Dollars,1978-09-30,,,,,4746.8
Million US Dollars,1978-10-31,,,,,5292.8
Million US Dollars,1978-11-30,,,,,5162.0
Million US Dollars,1978-12-31,,,,,5303.4
Million US Dollars,1979-01-31,,,,,5309.5
Million US Dollars,1979-02-28,,,,,5430.2
Million US Dollars,1979-03-31,,,,,5435.3
Million US Dollars,1979-04-30,,,,,5366.9
Million US Dollars,1979-05-31,,,,,5421.6
Million US Dollars,1979-06-30,,,,,5501.0
Million US Dollars,1979-07-31,,,,,5554.7
Million US Dollars,1979-08-31,,,,,5612.2
Million US Dollars,1979-09-30,,,,,5694.1
Million US Dollars,1979-10-31,,,,,5625.9
Million US Dollars,1979-11-30,,,,,5688.1
Million US Dollars,1979-12-31,,,,,5818.6
Million US Dollars,1980-01-31,,,,,5938.1
Million US Dollars,1980-02-29,,,,,5953.0
Million US Dollars,1980-03-31,,,,,5678.9
Million US Dollars,1980-04-30,,,,,5884.0
Million US Dollars,1980-05-31,,,,,6094.3
Million US Dollars,1980-06-30,,,,,6240.8
Million US Dollars,1980-07-31,,,,,6212.0
Million US Dollars,1980-08-31,,,,,6337.1
Million US Dollars,1980-09-30,,,,,6464.1
Million US Dollars,1980-10-31,,,,,6517.0
Million US Dollars,1980-11-30,,,,,6527.3
Million US Dollars,1980-12-31,,,,,6571.6
Million US Dollars,1981-01-31,,,,,6644.1
Million US Dollars,1981-02-28,,,,,6795.5
Million US Dollars,1981-03-31,,,,,6840.1
Million US Dollars,1981-04-30,,,,,6810.7
Million US Dollars,1981-05-31,,,,,6679.5
Million US Dollars,1981-06-30,,,,,6732.8
Million US Dollars,1981-07-31,,,,,6664.8
Million US Dollars,1981-08-31,,,,,6694.1
Million US Dollars,1981-09-30,,,,,6841.6
Million US Dollars,1981-10-31,,,,,7312.7
Million US Dollars,1981-11-30,,,,,7491.4
Million US Dollars,1981-12-31,,,,,7564.8
Million US Dollars,1982-01-31,,,,,7626.8
Million US Dollars,1982-02-28,,,,,7521.0
Million US Dollars,1982-03-31,,,,,7375.6
Million US Dollars,1982-04-30,,,,,7543.7
Million US Dollars,1982-05-31,,,,,7605.4
Million US Dollars,1982-06-30,,,,,7545.1
Million US Dollars,1982-07-31,,,,,7646.8
Million US Dollars,1982-08-31,,,,,7633.9
Million US Dollars,1982-09-30,,,,,7648.5
Million US Dollars,1982-10-31,,,,,7795.6
Million US Dollars,1982-11-30,,,,,8037.3
Million US Dollars,1982-12-31,,,,,8497.9
Million US Dollars,1983-01-31,,,,,8679.7
Million US Dollars,1983-02-28,,,,,8862.1
Million US Dollars,1983-03-31,,,,,8831.5
Million US Dollars,1983-04-30,,,,,8746.2
Million US Dollars,1983-05-31,,,,,8847.5
Million US Dollars,1983-06-30,,,,,8858.8
Million US Dollars,1983-07-31,,,,,8814.5
Million US Dollars,1983-08-31,,,,,8843.3
Million US Dollars,1983-09-30,,,,,9060.4
Million US Dollars,1983-10-31,,,,,9171.8
Million US Dollars,1983-11-30,,,,,9246.9
Million US Dollars,1983-12-31,,,,,9287.9
Million US Dollars,1984-01-31,,,,,9347.2
Million US Dollars,1984-02-29,,,,,9460.9
Million US Dollars,1984-03-31,,,,,9694.4
Million US Dollars,1984-04-30,,,,,9731.1
Million US Dollars,1984-05-31,,,,,9750.7
Million US Dollars,1984-06-30,,,,,9768.0
Million US Dollars,1984-07-31,,,,,10032.3
Million US Dollars,1984-08-31,,,,,10342.5
Million US Dollars,1984-09-30,,,,,10326.7
Million US Dollars,1984-10-31,,,,,10369.9
Million US Dollars,1984-11-30,,,,,10443.4
Million US Dollars,1984-12-31,,,,,10453.6
Million US Dollars,1985-01-31,,,,,10521.7
Million US Dollars,1985-02-28,,,,,10358.9
Million US Dollars,1985-03-31,,,,,10792.3
Million US Dollars,1985-04-30,,,,,11001.9
Million US Dollars,1985-05-31,,,,,11003.5
Million US Dollars,1985-06-30,,,,,11051.7
Million US Dollars,1985-07-31,,,,,11298.7
Million US Dollars,1985-08-31,,,,,11087.4
Million US Dollars,1985-09-30,,,,,11752.3
Million US Dollars,1985-10-31,,,,,12149.3
Million US Dollars,1985-11-30,,,,,12660.1
Million US Dollars,1985-12-31,,,,,12860.3
Million US Dollars,1986-01-31,,,,,12862.3
Million US Dollars,1986-02-28,,,,,12816.4
Million US Dollars,1986-03-31,,,,,12631.7
Million US Dollars,1986-04-30,,,,,12586.1
Million US Dollars,1986-05-31,,,,,12506.4
Million US Dollars,1986-06-30,,,,,12766.3
Million US Dollars,1986-07-31,,,,,12838.9
Million US Dollars,1986-08-31,,,,,12886.7
Million US Dollars,1986-09-30,,,,,12845.3
Million US Dollars,1986-10-31,,,,,12779.6
Million US Dollars,1986-11-30,,,,,12758.1
Million US Dollars,1986-12-31,,,,,12946.0
Million US Dollars,1987-01-31,,,,,13186.7
Million US Dollars,1987-02-28,,,,,13166.4
Million US Dollars,1987-03-31,,,,,13266.9
Million US Dollars,1987-04-30,,,,,13378.5
Million US Dollars,1987-05-31,,,,,13710.1
Million US Dollars,1987-06-30,,,,,13588.1
Million US Dollars,1987-07-31,,,,,13776.0
Million US Dollars,1987-08-31,,,,,14022.7
Million US Dollars,1987-09-30,,,,,14131.1
Million US Dollars,1987-10-31,,,,,14351.5
Million US Dollars,1987-11-30,,,,,14800.6
Million US Dollars,1987-12-31,,,,,15232.3
Million US Dollars,1988-01-31,,,,,15386.6
Million US Dollars,1988-02-29,,,,,15699.2
Million US Dollars,1988-03-31,,,,,15713.5
Million US Dollars,1988-04-30,,,,,15909.0
Million US Dollars,1988-05-31,,,,,15883.2
Million US Dollars,1988-06-30,,,,,15662.5
Million US Dollars,1988-07-31,,,,,15669.5
Million US Dollars,1988-08-31,,,,,15747.2
Million US Dollars,1988-09-30,,,,,15707.4
Million US Dollars,1988-10-31,,,,,16279.6
Million US Dollars,1988-11-30,,,,,16957.1
Million US Dollars,1988-12-31,,,,,17098.2
Million US Dollars,1989-01-31,,,,,17409.5
Million US Dollars,1989-02-28,,,,,17641.4
Million US Dollars,1989-03-31,,,,,17426.5
Million US Dollars,1989-04-30,,,,,17779.1
Million US Dollars,1989-05-31,,,,,17914.8
Million US Dollars,1989-06-30,,,,,18126.8
Million US Dollars,1989-07-31,,,,,18544.0
Million US Dollars,1989-08-31,,,,,18867.4
Million US Dollars,1989-09-30,,,,,19060.9
Million US Dollars,1989-10-31,,,,,19433.6
Million US Dollars,1989-11-30,,,,,19772.4
Million US Dollars,1989-12-31,,,,,20370.9
Million US Dollars,1990-01-31,,,,,21284.4
Million US Dollars,1990-02-28,,,,,21832.0
Million US Dollars,1990-03-31,,,,,21598.8
Million US Dollars,1990-04-30,,,,,22030.6
Million US Dollars,1990-05-31,,,,,22492.0
Million US Dollars,1990-06-30,,,,,23429.0
Million US Dollars,1990-07-31,,,,,24898.2
Million US Dollars,1990-08-31,,,,,26200.9
Million US Dollars,1990-09-30,,,,,26539.7
Million US Dollars,1990-10-31,,,,,27942.3
Million US Dollars,1990-11-30,,,,,27947.8
Million US Dollars,1990-12-31,,,,,27789.4
Million US Dollars,1991-01-31,,,,,28133.7
Million US Dollars,1991-02-28,,,,,28103.3
Million US Dollars,1991-03-31,,,,,27313.5
Million US Dollars,1991-04-30,,,,,28298.7
Million US Dollars,1991-05-31,,,,,28639.2
Million US Dollars,1991-06-30,,,,,29030.2
Million US Dollars,1991-07-31,,,,,29813.9
Million US Dollars,1991-08-31,,,,,30768.7
Million US Dollars,1991-09-30,,,,,31814.3
Million US Dollars,1991-10-31,,,,,32215.8
Million US Dollars,1991-11-30,,,,,32944.4
Million US Dollars,1991-12-31,,,,,34186.6
Million US Dollars,1992-01-31,,,,,34957.3
Million US Dollars,1992-02-29,,,,,35238.9
Million US Dollars,1992-03-31,,,,,34637.5
Million US Dollars,1992-04-30,,,,,35806.1
Million US Dollars,1992-05-31,,,,,36976.6
Million US Dollars,1992-06-30,,,,,37841.6
Million US Dollars,1992-07-31,,,,,38465.1
Million US Dollars,1992-08-31,,,,,39395.9
Million US Dollars,1992-09-30,,,,,39914.2
Million US Dollars,1992-10-31,,,,,39599.4
Million US Dollars,1992-11-30,,,,,39447.0
Million US Dollars,1992-12-31,,,,,39942.0
Million US Dollars,1993-01-31,,,,,40809.4
Million US Dollars,1993-02-28,,,,,41520.8
Million US Dollars,1993-03-31,,,,,41423.2
Million US Dollars,1993-04-30,,,,,42807.5
Million US Dollars,1993-05-31,,,,,43766.4
Million US Dollars,1993-06-30,,,,,43644.4
Million US Dollars,1993-07-31,,,,,44348.7
Million US Dollars,1993-08-31,,,,,45520.7
Million US Dollars,1993-09-30,,,,,46677.7
Million US Dollars,1993-10-31,,,,,47902.9
Million US Dollars,1993-11-30,,,,,47596.1
Million US Dollars,1993-12-31,,,,,48417.0
Million US Dollars,1994-01-31,,,,,49609.2
Million US Dollars,1994-02-28,,,,,50402.4
Million US Dollars,1994-03-31,,,,,50729.9
Million US Dollars,1994-04-30,,,,,51629.2
Million US Dollars,1994-05-31,,,,,52493.0
Million US Dollars,1994-06-30,,,,,52998.1
Million US Dollars,1994-07-31,,,,,53622.4
Million US Dollars,1994-08-31,,,,,55205.0
Million US Dollars,1994-09-30,,,,,56604.2
Million US Dollars,1994-10-31,,,,,57318.2
Million US Dollars,1994-11-30,,,,,57790.7
Million US Dollars,1994-12-31,,,,,58298.6
Million US Dollars,1995-01-31,,,,,58776.9
Million US Dollars,1995-02-28,,,,,58842.9
Million US Dollars,1995-03-31,,,,,61406.2
Million US Dollars,1995-04-30,,,,,64576.6
Million US Dollars,1995-05-31,,,,,65850.8
Million US Dollars,1995-06-30,,,,,66495.5
Million US Dollars,1995-07-31,,,,,67432.3
Million US Dollars,1995-08-31,,,,,66597.0
Million US Dollars,1995-09-30,,,,,66961.8
Million US Dollars,1995-10-31,,,,,67877.0
Million US Dollars,1995-11-30,,,,,68577.9
Million US Dollars,1995-12-31,,,,,68819.1
Million US Dollars,1996-01-31,,,,,69502.1
Million US Dollars,1996-02-29,,,,,70655.7
Million US Dollars,1996-03-31,,,,,70396.5
Million US Dollars,1996-04-30,,,,,71523.6
Million US Dollars,1996-05-31,,,,,71781.6
Million US Dollars,1996-06-30,,,,,72304.1
Million US Dollars,1996-07-31,,,,,72787.0
Million US Dollars,1996-08-31,,,,,74085.1
Million US Dollars,1996-09-30,,,,,74337.3
Million US Dollars,1996-10-31,,,,,75082.3
Million US Dollars,1996-11-30,,,,,75770.5
Million US Dollars,1996-12-31,,,,,76967.5
Million US Dollars,1997-01-31,,,,,77418.2
Million US Dollars,1997-02-28,,,,,77334.2
Million US Dollars,1997-03-31,,,,,78765.9
Million US Dollars,1997-04-30,,,,,79120.9
Million US Dollars,1997-05-31,,,,,80540.2
Million US Dollars,1997-06-30,,,,,80776.6
Million US Dollars,1997-07-31,,,,,79484.2
Million US Dollars,1997-08-31,,,,,76917.8
Million US Dollars,1997-09-30,,,,,77414.5
Million US Dollars,1997-10-31,,,,,74577.5
Million US Dollars,1997-11-30,,,,,74518.1
Million US Dollars,1997-12-31,,,,,71377.6
Million US Dollars,1998-01-31,,,,,68269.8
Million US Dollars,1998-02-28,,,,,74043.6
Million US Dollars,1998-03-31,,,,,74677.8
Million US Dollars,1998-04-30,,,,,76187.4
Million US Dollars,1998-05-31,,,,,71946.8
Million US Dollars,1998-06-30,,,,,70976.3
Million US Dollars,1998-07-31,,,,,69282.7
Million US Dollars,1998-08-31,,,,,68125.0
Million US Dollars,1998-09-30,,,,,72408.1
Million US Dollars,1998-10-31,,,,,76023.3
Million US Dollars,1998-11-30,,,,,74963.8
Million US Dollars,1998-12-31,,,,,75021.0
Million US Dollars,1999-01-31,,,,,74105.8
Million US Dollars,1999-02-28,,,,,72247.9
Million US Dollars,1999-03-31,,,,,71676.3
Million US Dollars,1999-04-30,,,,,74618.3
Million US Dollars,1999-05-31,,,,,73790.0
Million US Dollars,1999-06-30,,,,,73838.7
Million US Dollars,1999-07-31,,,,,75460.1
Million US Dollars,1999-08-31,,,,,75849.1
Million US Dollars,1999-09-30,,,,,76359.4
Million US Dollars,1999-10-31,,,,,75712.0
Million US Dollars,1999-11-30,,,,,74430.7
Million US Dollars,1999-12-31,,,,,77047.7
Million US Dollars,2000-01-31,,,,,75960.2
Million US Dollars,2000-02-29,,,,,74317.7
Million US Dollars,2000-03-31,,,,,74636.3
Million US Dollars,2000-04-30,,,,,75266.8
Million US Dollars,2000-05-31,,,,,75961.2
Million US Dollars,2000-06-30,,,,,77579.2
Million US Dollars,2000-07-31,,,,,76296.9
Million US Dollars,2000-08-31,,,,,77353.2
Million US Dollars,2000-09-30,,,,,77930.0
Million US Dollars,2000-10-31,,,,,77650.0
Million US Dollars,2000-11-30,,,,,77892.3
Million US Dollars,2000-12-31,,,,,80169.6
Million US Dollars,2001-01-31,,,,,80171.8
Million US Dollars,2001-02-28,,,,,80179.8
Million US Dollars,2001-03-31,,,,,77522.5
Million US Dollars,2001-04-30,,,,,76777.0
Million US Dollars,2001-05-31,,,,,76045.0
Million US Dollars,2001-06-30,,,,,74484.8
Million US Dollars,2001-07-31,,,,,73860.8
Million US Dollars,2001-08-31,,,,,75981.3
Million US Dollars,2001-09-30,,,,,75380.0
Million US Dollars,2001-10-31,,,,,75964.9
Million US Dollars,2001-11-30,,,,,76590.8
Million US Dollars,2001-12-31,,,,,75677.0
Million US Dollars,2002-01-31,,,,,75147.8
Million US Dollars,2002-02-28,,,,,74938.3
Million US Dollars,2002-03-31,,,,,75814.0
Million US Dollars,2002-04-30,,,,,76414.2
Million US Dollars,2002-05-31,,,,,78088.4
Million US Dollars,2002-06-30,,,,,80313.2
Million US Dollars,2002-07-31,,,,,80242.1
Million US Dollars,2002-08-31,,,,,80816.1
Million US Dollars,2002-09-30,,,,,80631.7
Million US Dollars,2002-10-31,,,,,81260.4
Million US Dollars,2002-11-30,,,,,80178.6
Million US Dollars,2002-12-31,,,,,82218.7
Million US Dollars,2003-01-31,,,,,83662.2
Million US Dollars,2003-02-28,,,,,83524.2
Million US Dollars,2003-03-31,,,,,83571.2
Million US Dollars,2003-04-30,,,,,83310.6
Million US Dollars,2003-05-31,,,,,85697.1
Million US Dollars,2003-06-30,,,,,86588.5
Million US Dollars,2003-07-31,,,,,87007.8
Million US Dollars,2003-08-31,,,,,87717.1
Million US Dollars,2003-09-30,,,,,91029.0
Million US Dollars,2003-10-31,,,,,92458.1
Million US Dollars,2003-11-30,,,,,93917.1
Million US Dollars,2003-12-31,,,,,96244.1
Million US Dollars,2004-01-31,,,,,98438.7
Million US Dollars,2004-02-29,,,,,101033.5
Million US Dollars,2004-03-31,,,,,102558.8
Million US Dollars,2004-04-30,,,,,98923.2
Million US Dollars,2004-05-31,,,,,100896.0
Million US Dollars,2004-06-30,,,,,101385.7
Million US Dollars,2004-07-31,,,,,100105.7
Million US Dollars,2004-08-31,,,,,101103.6
Million US Dollars,2004-09-30,,,,,102534.6
Million US Dollars,2004-10-31,,,,,105606.1
Million US Dollars,2004-11-30,,,,,109876.7
Million US Dollars,2004-12-31,,,,,112574.9
Million US Dollars,2005-01-31,,,,,111726.0
Million US Dollars,2005-02-28,,,,,113630.2
Million US Dollars,2005-03-31,,,,,112752.0
Million US Dollars,2005-04-30,,,,,116319.7
Million US Dollars,2005-05-31,,,,,115715.9
Million US Dollars,2005-06-30,,,,,114898.3
Million US Dollars,2005-07-31,,,,,115965.4
Million US Dollars,2005-08-31,,,,,116050.0
Million US Dollars,2005-09-30,,,,,115249.9
Million US Dollars,2005-10-31,,,,,115220.1
Million US Dollars,2005-11-30,,,,,114580.2
Million US Dollars,2005-12-31,,,,,116172.6
Million US Dollars,2006-01-31,,,,,119745.8
Million US Dollars,2006-02-28,,,,,119740.4
Million US Dollars,2006-03-31,,,,,121766.0
Million US Dollars,2006-04-30,,,,,127397.2
Million US Dollars,2006-05-31,,,,,128398.7
Million US Dollars,2006-06-30,,,,,128315.9
Million US Dollars,2006-07-31,,,,,129481.2
Million US Dollars,2006-08-31,,,,,130278.9
Million US Dollars,2006-09-30,,,,,128945.4
Million US Dollars,2006-10-31,,,,,131429.0
Million US Dollars,2006-11-30,,,,,135341.6
Million US Dollars,2006-12-31,,,,,136260.9
Million US Dollars,2007-01-31,,,,,134573.2
Million US Dollars,2007-02-28,,,,,137058.6
Million US Dollars,2007-03-31,,,,,137735.7
Million US Dollars,2007-04-30,,,,,140048.3
Million US Dollars,2007-05-31,,,,,140899.6
Million US Dollars,2007-06-30,,,,,144055.9
Million US Dollars,2007-07-31,,,,,147021.7
Million US Dollars,2007-08-31,,,,,147622.0
Million US Dollars,2007-09-30,,,,,152449.8
Million US Dollars,2007-10-31,,,,,158165.1
Million US Dollars,2007-11-30,,,,,160710.7
Million US Dollars,2007-12-31,,,,,162956.8
Million US Dollars,2008-01-31,,,,,167648.8
Million US Dollars,2008-02-29,,,,,171735.3
Million US Dollars,2008-03-31,,,,,177462.3
Million US Dollars,2008-04-30,,,,,175804.9
Million US Dollars,2008-05-31,,,,,175802.2
Million US Dollars,2008-06-30,,,,,176650.2
Million US Dollars,2008-07-31,,,,,174964.2
Million US Dollars,2008-08-31,,,,,170100.0
Million US Dollars,2008-09-30,,,,,168802.1
Million US Dollars,2008-10-31,,,,,162173.9
Million US Dollars,2008-11-30,,,,,165677.9
Million US Dollars,2008-12-31,,,,,174196.3
Million US Dollars,2009-01-31,,,,,167090.2
Million US Dollars,2009-02-28,,,,,163549.4
Million US Dollars,2009-03-31,,,,,166251.1
Million US Dollars,2009-04-30,,,,,170100.7
Million US Dollars,2009-05-31,,,,,171755.0
Million US Dollars,2009-06-30,,,,,173191.2
Million US Dollars,2009-07-31,,,,,174128.7
Million US Dollars,2009-08-31,,,,,176262.5
Million US Dollars,2009-09-30,,,,,182038.6
Million US Dollars,2009-10-31,,,,,184337.0
Million US Dollars,2009-11-30,,,,,188900.2
Million US Dollars,2009-12-31,,,,,187809.1
Million US Dollars,2010-01-31,,,,,189618.6
Million US Dollars,2010-02-28,,,,,187834.3
Million US Dollars,2010-03-31,,,,,197111.5
Million US Dollars,2010-04-30,,,,,203436.3
Million US Dollars,2010-05-31,,,,,198358.6
Million US Dollars,2010-06-30,,,,,199959.9
Million US Dollars,2010-07-31,,,,,206933.9
Million US Dollars,2010-08-31,,,,,206410.5
Million US Dollars,2010-09-30,,,,,214661.7
Million US Dollars,2010-10-31,,,,,221397.9
Million US Dollars,2010-11-30,,,,,217566.5
Million US Dollars,2010-12-31,,,,,225754.2
Million US Dollars,2011-01-31,,,,,227110.2
Million US Dollars,2011-02-28,,,,,230880.2
Million US Dollars,2011-03-31,,,,,234205.1
Million US Dollars,2011-04-30,,,,,242524.2
Million US Dollars,2011-05-31,,,,,239943.2
Million US Dollars,2011-06-30,,,,,242286.9
Million US Dollars,2011-07-31,,,,,249149.6
Million US Dollars,2011-08-31,,,,,249176.6
Million US Dollars,2011-09-30,,,,,233620.7
Million US Dollars,2011-10-31,,,,,245420.1
Million US Dollars,2011-11-30,,,,,240987.2
Million US Dollars,2011-12-31,,,,,237737.0
Million US Dollars,2012-01-31,,,,,245486.1
Million US Dollars,2012-02-29,,,,,247014.3
Million US Dollars,2012-03-31,,,,,243582.6
Million US Dollars,2012-04-30,,,,,246107.1
Million US Dollars,2012-05-31,,,,,237714.0
Million US Dollars,2012-06-30,,,,,243382.8
Million US Dollars,2012-07-31,,,,,244138.1
Million US Dollars,2012-08-31,,,,,246181.1
Million US Dollars,2012-09-30,,,,,252147.8
Million US Dollars,2012-10-31,,,,,254217.8
Million US Dollars,2012-11-30,,,,,255768.6
Million US Dollars,2012-12-31,,,,,259307.1
Million US Dollars,2013-01-31,,,,,258844.0
Million US Dollars,2013-02-28,,,,,259136.2
Million US Dollars,2013-03-31,,,,,258186.3
Million US Dollars,2013-04-30,,,,,261678.0
Million US Dollars,2013-05-31,,,,,258377.9
Million US Dollars,2013-06-30,,,,,259816.3
Million US Dollars,2013-07-31,,,,,261095.9
Million US Dollars,2013-08-31,,,,,261874.2
Million US Dollars,2013-09-30,,,,,268102.6
Million US Dollars,2013-10-31,,,,,271778.8
Million US Dollars,2013-11-30,,,,,271898.4
Million US Dollars,2013-12-31,,,,,273065.1
Million US Dollars,2014-01-31,,,,,271538.0
Million US Dollars,2014-02-28,,,,,273996.0
Million US Dollars,2014-03-31,,,,,272941.0
Million US Dollars,2014-04-30,,,,,275238.9
Million US Dollars,2014-05-31,,,,,276142.2
Million US Dollars,2014-06-30,,,,,277967.3
Million US Dollars,2014-07-31,,,,,273658.1
Million US Dollars,2014-08-31,,,,,273293.1
Million US Dollars,2014-09-30,,,,,266142.1
Million US Dollars,2014-10-31,,,,,264379.3
Million US Dollars,2014-11-30,,,,,260553.2
Million US Dollars,2014-12-31,,,,,256860.4
Million US Dollars,2015-01-31,,,,,251463.9
Million US Dollars,2015-02-28,,,,,250701.6
Million US Dollars,2015-03-31,,,,,248404.0
Million US Dollars,2015-04-30,,,,,251920.7
Million US Dollars,2015-05-31,,,,,250188.8
Million US Dollars,2015-06-30,,,,,253280.1
Million US Dollars,2015-07-31,,,,,250116.4
Million US Dollars,2015-08-31,,,,,250410.3
Million US Dollars,2015-09-30,,,,,251639.9
Million US Dollars,2015-10-31,,,,,249775.1
Million US Dollars,2015-11-30,,,,,247088.4
Million US Dollars,2015-12-31,,,,,247747.4
Million US Dollars,2016-01-31,,,,,244858.6
Million US Dollars,2016-02-29,,,,,244012.5
Million US Dollars,2016-03-31,,,,,246195.8
Million US Dollars,2016-04-30,,,,,250352.4
Million US Dollars,2016-05-31,,,,,247128.7
Million US Dollars,2016-06-30,,,,,248859.0
Million US Dollars,2016-07-31,,,,,251428.8
Million US Dollars,2016-08-31,,,,,252282.8
Million US Dollars,2016-09-30,,,,,253407.6
Million US Dollars,2016-10-31,,,,,251363.5
Million US Dollars,2016-11-30,,,,,247784.4
Million US Dollars,2016-12-31,,,,,246575.3
Million US Dollars,2017-01-31,,,,,252743.3
Million US Dollars,2017-02-28,,,,,253349.7
Million US Dollars,2017-03-31,,,,,259638.2
Million US Dollars,2017-04-30,,,,,260725.4
Million US Dollars,2017-05-31,,,,,264556.4
Million US Dollars,2017-06-30,,,,,266303.0
Million US Dollars,2017-07-31,,,,,269724.1
Million US Dollars,2017-08-31,,,,,273114.8
Million US Dollars,2017-09-30,,,,,275410.2
Million US Dollars,2017-10-31,,,,,276012.5
Million US Dollars,2017-11-30,,,,,279589.3
Million US Dollars,2017-12-31,,,,,279899.7
Million US Dollars,2018-01-31,,,,,282384.9
Million US Dollars,2018-02-28,,,,,282783.5
Million US Dollars,2018-03-31,,,,,287148.5
Million US Dollars,2018-04-30,,,,,287733.8
Million US Dollars,2018-05-31,,,,,287915.6
Million US Dollars,2018-06-30,,,,,288043.7
Million US Dollars,2018-07-31,,,,,289208.3
Million US Dollars,2018-08-31,,,,,289479.8
Million US Dollars,2018-09-30,,,,,291326.2
Million US Dollars,2018-10-31,,,,,290270.9
Million US Dollars,2018-11-30,,,,,289520.6
Million US Dollars,2018-12-31,,,,,287673.1
Million US Dollars,2019-01-31,,,,,293889.2
Million US Dollars,2019-02-28,,,,,292503.9
Million US Dollars,2019-03-31,,,,,295829.5
Million US Dollars,2019-04-30,,,,,296811.6
Million US Dollars,2019-05-31,,,,,265451.2
Million US Dollars,2019-06-30,,,,,273943.3
Million US Dollars,2019-07-31,,,,,272672.9
Million US Dollars,2019-08-31,,,,,272370.3
Million US Dollars,2019-09-30,,,,,272239.3
Million US Dollars,2019-10-31,,,,,276795.5
Million US Dollars,2019-11-30,,,,,276004.3
Million US Dollars,2019-12-31,,,,,279450.2
Million US Dollars,2020-01-31,,,,,278625.1
Million US Dollars,2020-02-29,,,,,282995.2
Million US Dollars,2020-03-31,,,,,279146.7
Million US Dollars,2020-04-30,,,,,301772.8
Million US Dollars,2020-05-31,,,,,300991.2
Million US Dollars,2020-06-30,,,,,312496.6
Million US Dollars,2020-07-31,,,,,321350.6
Million US Dollars,2020-08-31,,,,,327530.2
Million US Dollars,2020-09-30,,,,,328021.6
Million US Dollars,2020-10-31,,,,,338049.1
Million US Dollars,2020-11-30,,,,,352627.8
Million US Dollars,2020-12-31,,,,,362304.8
Million US Dollars,2021-01-31,,,,,370073.8
Million US Dollars,2021-02-28,,,,,382632.5
Million US Dollars,2021-03-31,,,,,379754.1
Million US Dollars,2021-04-30,,,,,385708.9
Million US Dollars,2021-05-31,,,,,398074.2
Million US Dollars,2021-06-30,,,,,398356.5
Million US Dollars,2021-07-31,,,,,407736.3
Million US Dollars,2021-08-31,,,,,418146.9
Million US Dollars,2021-09-30,,,,,416750.9
Million US Dollars,2021-10-31,,,,,419032.0
Million US Dollars,2021-11-30,,,,,412959.2
Million US Dollars,2021-12-31,,,,,417904.4
Million US Dollars,2022-01-31,,,,,418390.3
Million US Dollars,2022-02-28,,,,,426633.1
Million US Dollars,2022-03-31,,,,,379666.2
Million US Dollars,2022-04-30,,,,,365177.4
Million US Dollars,2022-05-31,,,,,345219.1
