Units,Timepoint,1.10: Information & Communications,1.11: Finance & Insurance,1.12: Real Estate,1.13: Professional Services,1.14: Administrative & Support Services,"1.15: Education, Health & Social Services","1.16: Arts, Entertainment, Recreation & Other Services",1.17: Others,1.1: Manufacturing,1.2: Construction,1.4: Wholesale Trade,1.5: Retail Trade,1.6: Transportation & Storage,1.8: Accommodation,1.9: Food & Beverage Services,1: Total
Number,2022-05-31,734.0,610.0,66.0,884.0,190.0,239.0,342.0,25.0,198.0,259.0,751.0,379.0,207.0,5.0,260.0,5149.0
Number,2022-06-30,763.0,698.0,50.0,857.0,186.0,222.0,383.0,32.0,196.0,306.0,753.0,384.0,229.0,7.0,303.0,5369.0
Number,2022-07-31,723.0,736.0,51.0,900.0,200.0,229.0,336.0,27.0,190.0,236.0,808.0,472.0,218.0,9.0,302.0,5437.0
Number,2022-08-31,856.0,703.0,59.0,897.0,209.0,227.0,379.0,30.0,216.0,291.0,912.0,523.0,243.0,19.0,295.0,5859.0
Number,2022-09-30,743.0,723.0,80.0,909.0,228.0,282.0,330.0,26.0,192.0,290.0,855.0,455.0,226.0,8.0,322.0,5669.0
Number,2022-10-31,691.0,593.0,75.0,780.0,199.0,238.0,322.0,28.0,192.0,251.0,829.0,405.0,218.0,3.0,289.0,5113.0
Number,2022-11-30,777.0,703.0,60.0,983.0,212.0,296.0,330.0,36.0,232.0,266.0,901.0,410.0,216.0,6.0,233.0,5661.0
Number,2022-12-31,693.0,678.0,56.0,879.0,196.0,257.0,293.0,24.0,197.0,247.0,804.0,422.0,172.0,3.0,214.0,5135.0
Number,2023-01-31,690.0,546.0,50.0,900.0,211.0,280.0,293.0,33.0,183.0,248.0,708.0,461.0,201.0,11.0,221.0,5036.0
Number,2023-02-28,761.0,604.0,86.0,997.0,229.0,276.0,345.0,24.0,204.0,319.0,831.0,460.0,230.0,3.0,303.0,5672.0
Number,2023-03-31,896.0,770.0,90.0,1130.0,247.0,338.0,393.0,38.0,252.0,336.0,1051.0,585.0,244.0,10.0,342.0,6722.0
Number,2023-04-30,751.0,569.0,78.0,993.0,245.0,337.0,322.0,30.0,210.0,260.0,884.0,458.0,229.0,9.0,317.0,5692.0
Number,2023-05-31,887.0,751.0,59.0,1109.0,265.0,322.0,377.0,28.0,247.0,317.0,1034.0,534.0,259.0,11.0,370.0,6570.0
