Units,Timepoint,1.1: Percent Change Over Previous Month,1.2: Percent Change Over Corresponding Period Of Previous Year,1: MAS Core Inflation Measure,2.1: Percent Change Over Previous Month,2.2: Percent Change Over Corresponding Period Of Previous Year,2: Services Inflation Measure,3.1: Percent Change Over Previous Month,3.2: Percent Change Over Corresponding Period Of Previous Year,3: Retail & Other Goods Inflation Measure,4.1: Percent Change Over Previous Month,4.2: Percent Change Over Corresponding Period Of Previous Year,4: Electricity & Gas Inflation Measure
Per Cent,2007-06-30,0.0,1.6,,,,,,,,,,
Per Cent,2007-07-31,1.4,2.5,,,,,,,,,,
Per Cent,2007-08-31,0.2,2.6,,,,,,,,,,
Per Cent,2007-09-30,0.2,2.8,,,,,,,,,,
Per Cent,2007-10-31,0.6,2.9,,,,,,,,,,
Per Cent,2007-11-30,0.6,3.2,,,,,,,,,,
Per Cent,2007-12-31,1.4,4.4,,,,,,,,,,
Per Cent,2008-01-31,0.7,5.0,,,,,,,,,,
Per Cent,2008-02-29,0.3,5.3,,,,,,,,,,
Per Cent,2008-03-31,0.2,5.6,,,,,,,,,,
Per Cent,2008-04-30,0.6,6.4,,,,,,,,,,
Per Cent,2008-05-31,0.1,6.5,,,,,,,,,,
Per Cent,2008-06-30,0.1,6.5,,,,,,,,,,
Per Cent,2008-07-31,0.6,5.7,,,,,,,,,,
Per Cent,2008-08-31,0.4,5.8,,,,,,,,,,
Per Cent,2008-09-30,0.0,5.6,,,,,,,,,,
Per Cent,2008-10-31,1.0,6.1,,,,,,,,,,
Per Cent,2008-11-30,0.0,5.5,,,,,,,,,,
Per Cent,2008-12-31,0.1,4.2,,,,,,,,,,
Per Cent,2009-01-31,-0.8,2.7,,,,,,,,,,
Per Cent,2009-02-28,-0.4,1.9,,,,,,,,,,
Per Cent,2009-03-31,0.1,1.9,,,,,,,,,,
Per Cent,2009-04-30,-1.0,0.3,,,,,,,,,,
Per Cent,2009-05-31,-0.2,-0.1,,,,,,,,,,
Per Cent,2009-06-30,-0.2,-0.3,,,,,,,,,,
Per Cent,2009-07-31,0.3,-0.5,,,,,,,,,,
Per Cent,2009-08-31,0.1,-0.8,,,,,,,,,,
Per Cent,2009-09-30,0.0,-0.9,,,,,,,,,,
Per Cent,2009-10-31,0.5,-1.4,,,,,,,,,,
Per Cent,2009-11-30,0.0,-1.4,,,,,,,,,,
Per Cent,2009-12-31,0.1,-1.4,,,,,,,,,,
Per Cent,2010-01-31,0.1,-0.5,,,,,,,,,,
Per Cent,2010-02-28,0.5,0.4,,,,,,,,,,
Per Cent,2010-03-31,0.1,0.4,,,,,,,,,,
Per Cent,2010-04-30,0.2,1.6,,,,,,,,,,
Per Cent,2010-05-31,-0.1,1.7,,,,,,,,,,
Per Cent,2010-06-30,-0.1,1.7,,,,,,,,,,
Per Cent,2010-07-31,0.6,2.0,,,,,,,,,,
Per Cent,2010-08-31,0.4,2.3,,,,,,,,,,
Per Cent,2010-09-30,0.0,2.3,,,,,,,,,,
Per Cent,2010-10-31,0.1,2.0,,,,,,,,,,
Per Cent,2010-11-30,0.2,2.2,,,,,,,,,,
Per Cent,2010-12-31,0.0,2.1,,,,,,,,,,
Per Cent,2011-01-31,0.0,2.0,,,,,,,,,,
Per Cent,2011-02-28,0.3,1.8,,,,,,,,,,
Per Cent,2011-03-31,0.1,1.8,,,,,,,,,,
Per Cent,2011-04-30,0.6,2.2,,,,,,,,,,
Per Cent,2011-05-31,-0.1,2.1,,,,,,,,,,
Per Cent,2011-06-30,0.0,2.3,,,,,,,,,,
Per Cent,2011-07-31,0.5,2.2,,,,,,,,,,
Per Cent,2011-08-31,0.4,2.2,,,,,,,,,,
Per Cent,2011-09-30,0.0,2.1,,,,,,,,,,
Per Cent,2011-10-31,0.3,2.3,,,,,,,,,,
Per Cent,2011-11-30,0.3,2.4,,,,,,,,,,
Per Cent,2011-12-31,0.2,2.6,,,,,,,,,,
Per Cent,2012-01-31,0.9,3.5,,,,,,,,,,
Per Cent,2012-02-29,-0.2,3.0,,,,,,,,,,
Per Cent,2012-03-31,0.1,2.9,,,,,,,,,,
Per Cent,2012-04-30,0.4,2.7,,,,,,,,,,
Per Cent,2012-05-31,-0.1,2.7,,,,,,,,,,
Per Cent,2012-06-30,0.0,2.7,,,,,,,,,,
Per Cent,2012-07-31,0.2,2.4,,,,,,,,,,
Per Cent,2012-08-31,0.2,2.3,,,,,,,,,,
Per Cent,2012-09-30,0.1,2.4,,,,,,,,,,
Per Cent,2012-10-31,0.1,2.2,,,,,,,,,,
Per Cent,2012-11-30,0.0,2.0,,,,,,,,,,
Per Cent,2012-12-31,0.2,1.9,,,,,,,,,,
Per Cent,2013-01-31,0.2,1.2,,,,,,,,,,
Per Cent,2013-02-28,0.4,1.9,,,,,,,,,,
Per Cent,2013-03-31,-0.1,1.7,,,,,,,,,,
Per Cent,2013-04-30,0.1,1.4,,,,,,,,,,
Per Cent,2013-05-31,0.2,1.7,,,,,,,,,,
Per Cent,2013-06-30,0.0,1.7,,,,,,,,,,
Per Cent,2013-07-31,0.1,1.6,,,,,,,,,,
Per Cent,2013-08-31,0.5,1.8,,,,,,,,,,
Per Cent,2013-09-30,0.0,1.7,,,,,,,,,,
Per Cent,2013-10-31,0.3,1.8,,,,,,,,,,
Per Cent,2013-11-30,0.3,2.1,,,,,,,,,,
Per Cent,2013-12-31,0.1,2.0,,,,,,,,,,
Per Cent,2014-01-31,0.4,2.3,,,,,,,,,,
Per Cent,2014-02-28,-0.1,1.7,,,,,,,,,,
Per Cent,2014-03-31,0.2,2.1,,,,,,,,,,
Per Cent,2014-04-30,0.3,2.3,,,,,,,,,,
Per Cent,2014-05-31,0.1,2.2,,,,,,,,,,
Per Cent,2014-06-30,-0.1,2.1,,,,,,,,,,
Per Cent,2014-07-31,0.2,2.2,,,,,,,,,,
Per Cent,2014-08-31,0.2,2.0,,,,,,,,,,
Per Cent,2014-09-30,-0.2,1.8,,,,,,,,,,
Per Cent,2014-10-31,0.2,1.7,,,,,,,,,,
Per Cent,2014-11-30,0.0,1.4,,,,,,,,,,
Per Cent,2014-12-31,0.2,1.5,,,,,,,,,,
Per Cent,2015-01-31,-0.2,1.0,,-0.1,1.2,,-0.1,0.2,,-7.1,-8.7,
Per Cent,2015-02-28,0.3,1.3,,0.5,1.5,,0.2,0.9,,-0.8,-9.3,
Per Cent,2015-03-31,-0.1,1.0,,-0.1,1.5,,0.4,0.2,,0.0,-9.2,
Per Cent,2015-04-30,-0.3,0.4,,0.1,1.1,,-0.2,-0.4,,-8.9,-17.4,
Per Cent,2015-05-31,-0.3,0.1,,-0.7,0.5,,0.1,-0.1,,-0.6,-18.0,
Per Cent,2015-06-30,0.0,0.2,,0.1,0.5,,-0.8,-0.1,,0.0,-18.1,
Per Cent,2015-07-31,0.4,0.4,,0.2,0.6,,0.5,0.0,,6.2,-12.9,
Per Cent,2015-08-31,0.1,0.2,,0.0,0.5,,0.1,-0.6,,0.3,-12.6,
Per Cent,2015-09-30,0.2,0.6,,0.2,0.8,,0.3,0.6,,0.0,-12.6,
Per Cent,2015-10-31,-0.1,0.3,,0.3,0.8,,-0.2,-0.1,,-8.0,-18.5,
Per Cent,2015-11-30,-0.1,0.2,,-0.1,0.7,,-0.1,0.0,,-0.2,-18.4,
Per Cent,2015-12-31,0.3,0.3,,0.6,0.9,,-0.2,0.1,,0.1,-18.3,
Per Cent,2016-01-31,0.0,0.4,,-0.5,0.5,,0.4,0.6,,-3.6,-15.2,
Per Cent,2016-02-29,0.4,0.5,,0.4,0.5,,0.2,0.5,,-0.3,-14.8,
Per Cent,2016-03-31,0.0,0.6,,-0.2,0.4,,0.5,0.7,,0.0,-14.9,
Per Cent,2016-04-30,0.0,0.8,,0.3,0.7,,0.2,1.0,,-7.9,-13.9,
Per Cent,2016-05-31,-0.1,1.0,,0.1,1.5,,-0.6,0.3,,-0.3,-13.7,
Per Cent,2016-06-30,0.0,1.1,,0.3,1.6,,-0.6,0.5,,0.0,-13.7,
Per Cent,2016-07-31,0.3,1.0,,0.1,1.6,,-0.1,-0.2,,7.5,-12.7,
Per Cent,2016-08-31,0.1,1.0,,0.1,1.7,,0.2,-0.1,,0.2,-12.7,
Per Cent,2016-09-30,0.1,0.9,,-0.1,1.5,,0.2,-0.2,,0.0,-12.6,
Per Cent,2016-10-31,0.1,1.1,,0.2,1.4,,0.0,0.0,,-0.5,-5.5,
Per Cent,2016-11-30,0.1,1.3,,0.0,1.5,,0.1,0.2,,0.3,-5.0,
Per Cent,2016-12-31,0.3,1.2,,0.7,1.6,,-0.5,0.0,,0.0,-5.2,
Per Cent,2017-01-31,0.2,1.5,,-0.1,1.9,,-0.2,-0.7,,4.8,3.1,
Per Cent,2017-02-28,0.1,1.2,,0.0,1.5,,0.4,-0.4,,0.7,4.1,
Per Cent,2017-03-31,0.0,1.2,,-0.1,1.6,,0.6,-0.4,,0.1,4.2,
Per Cent,2017-04-30,0.5,1.7,,0.4,1.7,,0.3,-0.3,,4.9,18.7,
Per Cent,2017-05-31,-0.2,1.6,,-0.3,1.4,,-0.5,-0.3,,0.0,19.1,
Per Cent,2017-06-30,0.0,1.5,,0.2,1.3,,-0.5,-0.2,,0.0,19.1,
Per Cent,2017-07-31,0.3,1.6,,0.2,1.4,,1.2,1.2,,-2.7,7.9,
Per Cent,2017-08-31,0.0,1.4,,0.2,1.4,,-0.2,0.9,,0.0,7.6,
Per Cent,2017-09-30,0.1,1.5,,0.0,1.5,,0.1,0.7,,0.1,7.6,
Per Cent,2017-10-31,0.2,1.5,,0.2,1.5,,0.2,0.9,,-1.4,6.6,
Per Cent,2017-11-30,0.0,1.5,,0.1,1.6,,-0.2,0.5,,0.0,6.3,
Per Cent,2017-12-31,0.1,1.3,,0.4,1.3,,-0.6,0.4,,0.0,6.3,
Per Cent,2018-01-31,0.3,1.4,,-0.2,1.3,,0.7,1.3,,5.2,6.7,
Per Cent,2018-02-28,0.4,1.7,,0.6,1.9,,0.1,1.1,,0.3,6.3,
Per Cent,2018-03-31,-0.2,1.5,,-0.5,1.4,,0.7,1.3,,0.0,6.2,
Per Cent,2018-04-30,0.3,1.3,,0.3,1.3,,-0.1,0.9,,2.4,3.7,
Per Cent,2018-05-31,0.0,1.5,,0.0,1.6,,-0.1,1.3,,0.1,3.7,
Per Cent,2018-06-30,0.2,1.7,,0.4,1.7,,-0.2,1.6,,0.0,3.7,
Per Cent,2018-07-31,0.5,1.9,,0.1,1.5,,1.3,1.6,,5.8,12.7,
Per Cent,2018-08-31,0.0,1.9,,-0.1,1.3,,0.2,2.0,,0.3,13.0,
Per Cent,2018-09-30,0.0,1.8,,0.1,1.4,,-0.5,1.5,,0.0,13.0,
Per Cent,2018-10-31,0.2,1.9,,0.2,1.4,,0.1,1.3,,1.7,16.6,
Per Cent,2018-11-30,-0.1,1.7,,-0.1,1.2,,-0.5,1.1,,-1.1,15.4,
Per Cent,2018-12-31,0.3,1.9,,0.6,1.5,,0.0,1.7,,-0.7,14.6,
Per Cent,2019-01-31,0.3,1.9,,0.3,2.0,,0.4,1.4,,-2.2,6.5,
Per Cent,2019-02-28,0.2,1.7,,0.4,1.8,,0.1,1.4,,-0.7,5.5,
Per Cent,2019-03-31,-0.2,1.7,,-0.3,2.0,,-0.1,0.5,,-1.5,3.9,
Per Cent,2019-04-30,0.0,1.4,,0.4,2.1,,-0.2,0.4,,-4.3,-2.8,
Per Cent,2019-05-31,-0.1,1.3,,-0.3,1.7,,0.1,0.6,,-1.2,-4.0,
Per Cent,2019-06-30,0.0,1.1,,0.3,1.6,,-0.7,0.2,,-0.8,-4.8,
Per Cent,2019-07-31,0.0,0.6,,-0.2,1.4,,-0.4,-1.4,,3.4,-7.0,
Per Cent,2019-08-31,0.1,0.7,,0.1,1.5,,0.0,-1.7,,-0.7,-7.8,
Per Cent,2019-09-30,0.0,0.6,,-0.2,1.2,,0.3,-0.9,,-0.5,-8.3,
Per Cent,2019-10-31,0.1,0.5,,0.2,1.2,,0.0,-0.9,,-2.9,-12.5,
Per Cent,2019-11-30,-0.1,0.6,,-0.2,1.1,,0.1,-0.3,,-0.3,-11.8,
Per Cent,2019-12-31,0.3,0.6,,0.7,1.2,,-0.6,-0.9,,-0.2,-11.4,
Per Cent,2020-01-31,0.0,0.3,,-0.3,0.5,,-0.1,-1.4,,1.5,-8.1,
Per Cent,2020-02-29,-0.1,-0.1,,-0.5,-0.4,,0.4,-1.0,,0.1,-7.4,
Per Cent,2020-03-31,-0.3,-0.2,,-0.6,-0.7,,0.1,-0.9,,-0.3,-6.2,
Per Cent,2020-04-30,-0.1,-0.3,,-0.1,-1.1,,-0.9,-1.6,,-3.3,-5.2,
Per Cent,2020-05-31,-0.1,-0.2,,0.0,-0.8,,-0.6,-2.3,,-0.5,-4.6,
Per Cent,2020-06-30,0.0,-0.2,,0.0,-1.0,,-0.2,-1.8,,-0.1,-3.9,
Per Cent,2020-07-31,-0.2,-0.4,,0.1,-0.8,,-0.1,-1.6,,-8.7,-15.2,
Per Cent,2020-08-31,0.1,-0.3,,0.3,-0.5,,0.2,-1.3,,0.0,-14.6,
Per Cent,2020-09-30,0.2,-0.1,,0.2,-0.1,,0.4,-1.3,,-0.1,-14.2,
Per Cent,2020-10-31,0.0,-0.2,,-0.1,-0.5,,-0.2,-1.6,,5.0,-7.2,
Per Cent,2020-11-30,0.0,-0.1,,0.1,-0.2,,-0.3,-2.0,,0.2,-6.8,
Per Cent,2020-12-31,0.1,-0.3,,0.1,-0.8,,0.2,-1.2,,-0.2,-6.7,
Per Cent,2021-01-31,0.1,-0.2,,0.2,-0.3,,-0.1,-1.3,,-1.8,-9.7,
Per Cent,2021-02-28,0.2,0.2,,0.2,0.5,,-0.1,-1.9,,0.0,-9.8,
Per Cent,2021-03-31,0.0,0.5,,0.1,1.2,,0.4,-1.5,,-0.1,-9.7,
Per Cent,2021-04-30,0.0,0.6,,-0.1,1.1,,-0.4,-1.1,,4.6,-2.4,
Per Cent,2021-05-31,0.1,0.8,,0.3,1.4,,-0.4,-0.8,,0.0,-1.9,
Per Cent,2021-06-30,-0.2,0.6,,0.0,1.4,,-1.2,-1.8,,-0.1,-1.8,
Per Cent,2021-07-31,0.2,1.0,,0.1,1.3,,0.6,-1.2,,2.1,9.9,
Per Cent,2021-08-31,0.2,1.1,,0.2,1.2,,0.4,-1.0,,-0.1,9.7,
Per Cent,2021-09-30,0.2,1.2,,0.2,1.2,,0.3,-1.0,,0.1,9.9,
Per Cent,2021-10-31,0.3,1.5,,0.2,1.6,,0.3,-0.4,,3.0,7.8,
Per Cent,2021-11-30,0.2,1.6,,0.4,1.9,,-0.8,-0.9,,2.3,10.0,
Per Cent,2021-12-31,0.6,2.1,,0.9,2.6,,0.4,-0.7,,0.5,10.7,
Per Cent,2022-01-31,0.4,2.4,,0.0,2.4,,0.3,-0.3,,3.9,17.2,
Per Cent,2022-02-28,0.0,2.2,,-0.1,2.0,,0.3,0.2,,-0.4,16.7,
Per Cent,2022-03-31,0.7,2.9,,0.7,2.6,,0.7,0.4,,0.8,17.8,
Per Cent,2022-04-30,0.4,3.3,,-0.3,2.5,,0.7,1.6,,6.3,19.7,
Per Cent,2022-05-31,0.4,3.6,,0.4,2.6,,-0.1,1.8,,0.2,19.9,
Per Cent,2022-06-30,0.7,4.4,,0.7,3.4,,0.0,3.1,,0.1,20.0,
Per Cent,2022-07-31,0.6,4.8,,0.2,3.5,,0.2,2.8,,5.5,24.0,
Per Cent,2022-08-31,0.5,5.1,,0.5,3.8,,0.5,2.9,,-0.3,23.9,
Per Cent,2022-09-30,0.5,5.3,,0.3,4.0,,0.6,3.1,,0.1,23.9,
Per Cent,2022-10-31,0.1,5.1,,0.1,3.9,,-0.2,2.6,,-1.1,19.0,
Per Cent,2022-11-30,0.2,5.1,,0.1,3.6,,0.0,3.3,,0.3,16.7,
Per Cent,2022-12-31,0.6,5.1,,0.9,3.7,,-0.1,2.8,,0.2,16.5,
Per Cent,2023-01-31,0.8,5.5,,0.5,4.2,,0.8,3.3,,-0.5,11.5,
Per Cent,2023-02-28,0.0,5.5,,-0.4,3.9,,0.8,3.8,,0.2,12.1,
Per Cent,2023-03-31,0.2,5.0,,0.1,3.4,,0.2,3.3,,0.8,12.2,
Per Cent,2023-04-30,0.4,5.0,,0.6,4.3,,0.3,2.9,,-2.7,2.7,
Per Cent,2023-05-31,0.1,4.7,,0.0,3.9,,-0.3,2.8,,0.7,3.3,
