Units,Timepoint,1.1.1.1: Exports Of Goods,1.1.1.2: Imports Of Goods,1.1.1: Goods Balance,1.1.2.1.10: Charges For The Use Of Intellectual Property,"1.1.2.1.11: Personal, Cultural And Recreational",1.1.2.1.12.10: Others,1.1.2.1.12.1: Accounting,1.1.2.1.12.2: Advertising And Market Research,1.1.2.1.12.3: Architectural,1.1.2.1.12.4: Business Management,1.1.2.1.12.5: Engineering And Technical,1.1.2.1.12.6: Legal,1.1.2.1.12.7: Research And Development,1.1.2.1.12.8: Operating Leasing,1.1.2.1.12.9: Trade-Related,1.1.2.1.12: Other Business Services,1.1.2.1.1: Manufacturing Services On Physical Inputs Owned By Others,1.1.2.1.2: Maintenance And Repair Services,1.1.2.1.3.1: Freight,1.1.2.1.3.2: Others,1.1.2.1.3: Transport,1.1.2.1.4: Travel,1.1.2.1.5: Insurance,1.1.2.1.6: Government Goods And Services,1.1.2.1.7: Construction,1.1.2.1.8: Financial,"1.1.2.1.9: Telecommunications, Computer & Information",1.1.2.1: Exports Of Services,1.1.2.2.10: Charges For The Use Of Intellectual Property,"1.1.2.2.11: Personal, Cultural And Recreational",1.1.2.2.12.10: Others,1.1.2.2.12.1: Accounting,1.1.2.2.12.2: Advertising And Market Research,1.1.2.2.12.3: Architectural,1.1.2.2.12.4: Business Management,1.1.2.2.12.5: Engineering And Technical,1.1.2.2.12.6: Legal,1.1.2.2.12.7: Research And Development,1.1.2.2.12.8: Operating Leasing,1.1.2.2.12.9: Trade-Related,1.1.2.2.12: Other Business Services,1.1.2.2.1: Manufacturing Services On Physical Inputs Owned By Others,1.1.2.2.2: Maintenance And Repair Services,1.1.2.2.3.1: Freight,1.1.2.2.3.2: Others,1.1.2.2.3: Transport,1.1.2.2.4: Travel,1.1.2.2.5: Insurance,1.1.2.2.6: Government Goods And Services,1.1.2.2.7: Construction,1.1.2.2.8: Financial,"1.1.2.2.9: Telecommunications, Computer & Information",1.1.2.2: Imports Of Services,1.1.2: Services Balance,1.1.3.1: Primary Income Receipts,1.1.3.2: Primary Income Payments,1.1.3: Primary Income Balance,1.1.4.3: Secondary Income Receipts,1.1.4.4: Secondary Income Payments,1.1.4: Secondary Income Balance,1.1: A Current Account Balance,1.2.2.1.1: Assets,1.2.2.1.2: Liabilities,1.2.2.1: Direct Investment,"1.2.2.2.1.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.2.1.2: Official,1.2.2.2.1.3: Others,1.2.2.2.1: Assets,"1.2.2.2.2.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.2.2.2: Others,1.2.2.2.2: Liabilities,1.2.2.2: Portfolio Investment,1.2.2.3.1: Assets,1.2.2.3.2: Liabilities,1.2.2.3: Financial Derivatives,"1.2.2.4.1.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.4.1.2: Official,1.2.2.4.1.3: Others,1.2.2.4.1: Assets,"1.2.2.4.2.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.4.2.2: Others,1.2.2.4.2: Liabilities,1.2.2.4: Other Investment,1.2.2: Financial Account (Net),1.2: B Capital & Financial Account Balance,1.3: C Net Errors & Omissions,1: D Overall Balance (A-B+C),2.1: Special Drawing Rights,2.2: Reserves Position In The IMF,2.3: Foreign Exchange Assets,2: E Reserve Assets
Million Dollars,2006-09-30,115852.1,95544.8,20307.3,276.7,32.6,,,,,,,,,,,5548.0,136.4,1496.1,,,9058.3,3025.9,292.0,80.1,224.4,2541.1,627.8,23339.4,3957.9,42.0,,,,,,,,,,,6130.4,309.7,130.4,,,9402.8,4359.2,484.5,61.1,64.6,564.7,617.1,26124.4,-2785.0,17052.7,18636.6,-1583.9,1112.3,1755.3,-643.0,15295.4,8451.0,11578.2,-3127.2,2520.3,3001.9,2898.9,8421.1,1354.3,3215.3,4569.6,3851.5,4320.3,1540.2,2780.1,9655.8,1255.1,-492.6,10418.3,8571.7,-3966.3,4605.4,5812.9,9317.3,9317.3,-1972.3,4005.8,7.3,3.2,3995.3,4005.8
Million Dollars,2006-12-31,113064.9,89920.1,23144.8,297.0,32.5,,,,,,,,,,,5719.8,146.4,1571.5,,,9330.9,3276.2,303.9,80.1,235.9,3156.1,658.8,24809.1,4249.5,42.2,,,,,,,,,,,6329.2,332.5,113.6,,,9382.9,4860.1,506.9,65.4,67.8,590.4,654.1,27194.6,-2385.5,17069.9,19429.6,-2359.7,1176.5,1905.6,-729.1,17670.5,9793.6,19766.3,-9972.7,7888.2,2757.3,5619.3,16264.8,-16.4,5450.5,5434.1,10830.7,3295.7,1430.6,1865.1,-6048.2,9165.3,8090.1,11207.2,4669.6,3793.2,8462.8,2744.4,5467.5,5467.5,-2716.4,9486.6,0.7,-39.2,9525.1,9486.6
Million Dollars,2007-03-31,111003.2,87644.8,23358.4,306.6,49.8,,,,,,,,,,,5521.4,114.6,1448.9,,,10394.7,2971.9,414.3,80.1,279.3,3305.6,658.8,25546.0,3439.2,43.8,,,,,,,,,,,6302.2,363.4,130.7,,,9551.0,4542.3,551.4,85.6,83.7,761.9,646.0,26501.2,-955.2,21215.9,21560.5,-344.6,1384.5,2248.9,-864.4,21194.2,13483.2,18208.2,-4725.0,11879.1,3332.9,6729.7,21941.7,-748.4,8814.5,8066.1,13875.6,2328.5,1038.0,1290.5,41581.2,6042.1,4584.2,52207.5,33534.8,9980.8,43515.6,8691.9,19133.0,19133.0,-545.9,1515.3,0.8,-14.3,1528.8,1515.3
Million Dollars,2007-06-30,114896.9,93472.4,21424.5,320.3,50.0,,,,,,,,,,,5731.7,119.7,1887.1,,,10408.6,3372.3,365.2,80.9,257.9,3820.8,693.3,27107.8,3592.0,44.2,,,,,,,,,,,6430.4,379.6,130.9,,,9940.5,5142.3,543.3,62.4,77.3,840.5,678.8,27862.2,-754.4,23315.8,24616.9,-1301.1,1286.1,2212.3,-926.2,18442.8,18216.9,20526.7,-2309.8,19867.7,4583.5,10930.8,35382.0,577.6,9770.2,10347.8,25034.2,15.9,79.5,-63.6,11399.6,21366.9,14597.7,47364.2,49939.9,10964.9,60904.8,-13540.6,9120.2,9120.2,-186.6,9136.0,12.1,-47.9,9171.8,9136.0
Million Dollars,2007-09-30,121526.9,96167.1,25359.8,354.8,51.0,,,,,,,,,,,5939.3,132.6,1705.3,,,11147.8,3562.0,363.7,81.9,287.2,4151.5,722.2,28499.3,3980.1,44.9,,,,,,,,,,,6709.5,420.6,153.8,,,10166.6,4957.4,544.3,67.2,86.1,854.7,711.1,28696.3,-197.0,22852.0,25740.2,-2888.2,1276.2,2369.5,-1093.3,21181.3,17989.4,18275.1,-285.7,1592.2,4684.8,10332.2,16609.2,-1452.8,8951.5,7498.7,9110.5,720.4,1208.5,-488.1,46926.5,7682.6,14336.9,68946.0,57787.0,5150.8,62937.8,6008.2,14344.9,14344.9,-805.0,6031.4,8.9,-2.6,6025.1,6031.4
Million Dollars,2007-12-31,122020.7,104546.8,17473.9,336.5,50.9,,,,,,,,,,,5993.3,125.7,1564.3,,,11691.7,3757.3,426.9,82.5,312.7,4545.8,755.9,29643.5,3774.0,45.1,,,,,,,,,,,6733.5,398.8,131.0,,,10795.9,5708.9,574.8,65.1,93.7,1008.3,751.0,30080.1,-436.6,21989.3,24628.8,-2639.5,1349.0,2545.9,-1196.9,13200.9,11924.2,14333.1,-2408.9,16115.2,3369.1,5935.0,25419.3,-843.9,2772.4,1928.5,23490.8,4354.3,4127.7,226.6,41715.9,12015.7,8710.6,62442.2,72343.9,11178.6,83522.5,-21080.3,228.2,228.2,-357.8,12614.9,-5.4,-6.8,12627.1,12614.9
Million Dollars,2008-03-31,125304.3,107740.0,17564.3,467.9,114.2,,,,,,,,,,,6482.6,123.2,2322.2,,,12924.9,3660.0,507.5,85.8,340.1,4254.1,858.8,32141.3,5245.1,128.9,,,,,,,,,,,7508.2,696.6,179.3,,,10455.6,5489.9,647.4,121.0,108.8,957.5,779.2,32317.5,-176.2,18018.6,21934.1,-3915.5,1587.2,2762.4,-1175.2,12297.4,7076.3,6362.1,714.2,11789.9,4445.9,1222.3,17458.1,-757.6,-2370.2,-3127.8,20585.9,7223.7,9527.8,-2304.1,45121.9,9186.6,-2021.6,52286.9,68045.0,4248.0,72293.0,-20006.1,-1010.1,-1010.1,-1342.5,11965.0,4.3,-3.6,11964.3,11965.0
Million Dollars,2008-06-30,130701.6,115128.8,15572.8,411.3,116.1,,,,,,,,,,,6442.2,108.3,1542.7,,,12773.3,3616.3,541.8,87.1,355.2,4233.4,905.7,31133.4,4609.5,131.3,,,,,,,,,,,7417.6,612.2,181.1,,,10651.1,5897.4,682.1,62.8,113.6,924.6,831.8,32115.1,-981.7,17693.2,19646.1,-1952.9,1562.2,2837.5,-1275.3,11362.9,435.4,6570.3,-6134.9,-9529.9,5106.8,-2705.0,-7128.1,-1339.8,-5769.7,-7109.5,-18.6,11900.6,14248.8,-2348.2,-39210.5,1334.4,-2860.1,-40736.2,-52921.2,-2185.7,-55106.9,14370.7,5869.0,5869.0,-1203.3,4290.6,-7.8,20.3,4278.1,4290.6
Million Dollars,2008-09-30,136062.0,120824.3,15237.7,429.6,117.1,,,,,,,,,,,6540.3,113.1,2265.8,,,13140.4,3714.9,453.5,87.6,404.7,4063.3,952.0,32282.3,4815.4,132.4,,,,,,,,,,,7551.1,639.5,207.3,,,10730.7,5514.2,634.4,61.8,129.6,910.6,883.3,32210.3,72.0,16744.1,19704.2,-2960.1,1326.2,2762.2,-1436.0,10913.6,-89.5,1362.0,-1451.5,-16447.8,3994.9,-3913.7,-16366.6,-211.3,-5860.7,-6072.0,-10294.6,12263.0,13964.2,-1701.2,72112.3,46.6,5164.2,77323.1,55184.9,-3704.1,51480.8,25842.3,12395.0,12395.0,-659.8,-2141.2,5.2,-6.1,-2140.3,-2141.2
Million Dollars,2008-12-31,109086.3,98890.5,10195.8,408.3,117.7,,,,,,,,,,,6356.5,107.5,2223.9,,,12270.2,4026.9,439.2,87.6,432.2,3168.8,959.2,30598.0,4578.0,133.5,,,,,,,,,,,7319.1,608.0,189.3,,,9974.6,6217.6,587.1,73.5,138.6,773.4,891.4,31484.1,-886.1,17584.1,18832.5,-1248.4,1246.9,2562.3,-1315.4,6745.9,3846.3,4945.3,-1099.0,-36568.0,6003.1,-498.5,-31063.4,-629.2,-3781.1,-4410.3,-26653.1,7810.6,7017.7,792.9,-28571.9,13.4,-15936.6,-44495.1,-72834.2,-34.5,-72868.7,28373.6,1414.4,1414.4,-914.8,4416.7,38.4,116.5,4261.8,4416.7
Million Dollars,2009-03-31,92773.4,78908.8,13864.6,450.8,97.2,,,,,,,,,,,6090.1,70.1,2429.9,,,10673.3,3294.4,523.4,87.6,366.5,3460.7,902.0,28446.0,4235.3,108.8,,,,,,,,,,,6764.2,708.7,242.2,,,8386.4,5190.5,473.6,113.4,134.8,676.1,817.7,27851.7,594.3,19532.7,19969.6,-436.9,1425.8,2806.0,-1380.2,12641.8,8847.8,6761.1,2086.7,-459.6,4539.9,-5287.3,-1207.0,-969.8,-747.8,-1717.6,510.6,-2998.4,-6844.2,3845.8,-13087.1,1914.6,-2971.2,-14143.7,-24760.4,-298.8,-25059.2,10915.5,17358.6,17358.6,1139.3,-3577.5,3.4,-3.5,-3577.4,-3577.5
Million Dollars,2009-06-30,100604.1,83087.4,17516.7,517.1,97.9,,,,,,,,,,,6273.3,80.4,2284.1,,,10232.4,3249.8,531.1,87.2,362.4,3775.5,918.2,28409.4,4856.5,109.5,,,,,,,,,,,7007.5,812.7,236.1,,,8507.7,5617.4,539.5,48.9,133.4,696.5,834.5,29400.2,-990.8,17960.6,21225.6,-3265.0,1524.8,2842.4,-1317.6,11943.3,11917.2,8004.3,3912.9,32872.1,4197.7,-7871.6,29198.2,-57.6,1307.5,1249.9,27948.3,-8569.1,-14803.5,6234.4,-52815.2,2.4,5349.8,-47463.0,-23357.5,1936.0,-21421.5,-26041.5,12054.1,12054.1,1141.9,1031.1,-12.7,61.6,982.2,1031.1
Million Dollars,2009-09-30,111894.7,92940.3,18954.4,584.0,101.0,,,,,,,,,,,6583.1,90.8,2215.9,,,10784.8,3180.0,560.0,87.5,388.1,3880.4,967.7,29423.3,5485.3,113.1,,,,,,,,,,,7401.3,917.9,276.6,,,9022.2,5623.9,603.1,95.6,142.8,802.4,886.4,31370.6,-1947.3,17139.1,22478.0,-5338.9,1623.2,2936.3,-1313.1,10355.1,13312.6,7029.5,6283.1,13885.6,2745.6,-7082.3,9548.9,-145.7,1350.7,1205.0,8343.9,-8372.3,-15002.8,6630.5,-53681.2,7802.3,9728.7,-36150.2,-29252.5,10075.3,-19177.2,-16973.0,4284.5,4284.5,950.2,7020.8,1669.9,61.3,5289.6,7020.8
Million Dollars,2009-12-31,115831.4,96514.1,19317.3,528.9,101.9,,,,,,,,,,,6648.9,82.1,2198.2,,,11675.2,3693.5,595.7,87.5,427.6,4497.6,1016.2,31553.3,4968.7,113.9,,,,,,,,,,,7454.4,831.4,236.1,,,9843.6,6409.1,690.2,62.1,157.2,803.7,937.7,32508.1,-954.8,16700.7,22307.6,-5606.9,1741.5,3144.2,-1402.7,11352.9,12524.5,12293.2,231.3,3089.1,2444.9,-1860.9,3673.1,-422.0,1405.5,983.5,2689.6,-7990.6,-11871.5,3880.9,-28568.5,12702.7,13620.9,-2244.9,-10243.8,15230.7,4986.9,-7231.8,-430.0,-430.0,198.9,11981.8,0.6,0.3,11980.9,11981.8
Million Dollars,2010-03-31,117620.9,100437.8,17183.1,604.2,100.8,,,,,,,,,,,6402.7,66.4,2287.4,,,12502.2,3823.4,840.9,89.2,342.6,3985.0,1173.3,32218.1,5322.6,130.5,,,,,,,,,,,7240.7,1031.7,210.2,,,9735.4,5954.0,846.3,88.5,167.2,907.4,1083.5,32718.0,-499.9,22061.7,21392.5,669.2,1801.5,3601.2,-1799.7,15552.7,11895.6,14379.6,-2484.0,7958.5,3714.2,3093.2,14765.9,264.1,1962.2,2226.3,12539.6,988.1,290.7,697.4,11046.5,1412.0,5398.9,17857.4,24588.1,7730.4,32318.5,-14461.1,-3708.1,-3708.1,1784.3,21045.1,-116.8,-18.7,21180.6,21045.1
Million Dollars,2010-06-30,128234.0,106791.6,21442.4,733.7,110.0,,,,,,,,,,,6669.3,80.6,2359.1,,,12787.8,4763.3,926.1,89.8,347.4,4005.2,1200.1,34072.4,6462.4,142.6,,,,,,,,,,,7621.4,1252.7,202.4,,,10057.0,6424.6,873.7,41.5,169.5,832.9,1113.1,35193.8,-1121.4,21754.5,23309.0,-1554.5,1952.4,3785.4,-1833.0,16933.5,12620.8,18797.6,-6176.8,-10081.9,3653.8,8651.2,2223.1,-549.0,3786.0,3237.0,-1013.9,469.6,2374.9,-1905.3,8410.4,2004.7,22290.4,32705.5,12939.9,5709.2,18649.1,14056.4,4960.4,4960.4,1713.5,13686.6,-55.8,-9.4,13751.8,13686.6
Million Dollars,2010-09-30,133113.1,109634.8,23478.3,648.8,110.7,,,,,,,,,,,6577.8,71.2,2007.6,,,13398.9,5390.1,819.2,90.3,353.1,3938.9,1216.6,34623.2,5714.0,143.5,,,,,,,,,,,7475.1,1107.6,248.9,,,10055.6,6195.8,813.3,56.7,172.3,890.9,1134.7,34008.4,614.8,21380.3,22522.8,-1142.5,1785.5,3689.1,-1903.6,21047.0,12332.7,19718.7,-7386.0,9921.7,3448.7,10004.0,23374.4,-250.6,3890.6,3640.0,19734.4,1052.4,3521.7,-2469.3,5507.9,10702.9,13881.3,30092.1,6194.7,16666.6,22861.3,7230.8,17109.9,17109.9,2334.8,6271.9,0.2,-3.1,6274.8,6271.9
Million Dollars,2010-12-31,131576.9,107459.4,24117.5,649.5,111.8,,,,,,,,,,,6708.8,71.3,1994.3,,,13917.7,5354.4,731.5,90.6,363.4,4724.1,1241.2,35958.6,5720.6,144.9,,,,,,,,,,,7594.5,1109.0,212.6,,,10455.0,6922.9,707.0,74.6,177.6,862.6,1155.9,35137.2,821.4,21412.1,22917.2,-1505.1,1635.1,3614.6,-1979.5,21454.3,11428.9,22536.7,-11107.8,1474.6,3094.2,6117.4,10686.2,-347.9,739.2,391.3,10294.9,3639.1,4954.8,-1315.7,-12772.9,5402.5,19209.2,11838.8,-8979.8,13482.9,4503.1,7335.7,5207.1,5207.1,229.7,16476.9,-63.0,76.7,16463.2,16476.9
Million Dollars,2011-03-31,137031.7,112479.3,24552.4,956.5,133.5,110.9,107.0,430.8,71.9,3492.3,859.8,130.0,167.1,652.0,1132.2,7154.0,65.9,2159.8,9901.5,2980.2,12881.7,5415.6,816.1,91.3,457.8,4783.2,1606.8,36522.2,6373.9,144.3,68.1,51.5,601.3,15.6,3525.6,498.0,57.9,1229.5,392.2,1876.7,8316.4,1135.9,213.4,6356.9,3765.7,10122.6,6254.5,901.7,96.2,154.2,993.7,1777.2,36484.0,38.2,19988.6,23057.2,-3068.6,2480.6,4086.2,-1605.6,19916.4,10994.6,12383.1,-1388.5,3996.7,2402.9,2142.5,8542.1,-225.5,-846.3,-1071.8,9613.9,9211.7,4914.8,4296.9,9630.0,18656.7,130.6,28417.3,11848.2,15562.4,27410.6,1006.7,13529.0,13529.0,-152.1,6235.3,-257.8,361.4,6131.7,6235.3
Million Dollars,2011-06-30,139523.8,117511.8,22012.0,786.8,128.0,106.5,96.4,439.6,73.7,3595.8,843.7,132.5,163.6,690.6,1193.6,7336.0,64.7,2068.8,11256.7,2920.4,14177.1,5414.7,752.7,91.8,458.7,4829.7,1544.7,37653.7,6287.4,142.2,66.7,52.7,584.7,15.0,3174.2,488.5,56.5,1206.2,415.4,1810.6,7870.5,1114.4,213.1,6760.9,3875.2,10636.1,6844.3,819.7,49.3,161.6,974.3,1778.4,36891.3,762.4,21779.7,23485.4,-1705.7,2345.2,3901.4,-1556.2,19512.5,10937.4,13773.1,-2835.7,-11671.7,3759.7,-541.7,-8453.7,-855.7,387.7,-468.0,-7985.7,12759.3,6219.8,6539.5,21305.5,4303.0,3258.3,28866.8,3201.1,7667.5,10868.6,17998.2,13716.3,13716.3,-330.7,5465.5,-27.4,-46.4,5539.3,5465.5
Million Dollars,2011-09-30,143571.9,118615.9,24956.0,796.3,149.2,107.0,106.2,463.9,77.7,3723.2,844.5,150.3,163.5,689.5,1229.1,7554.9,64.7,2632.0,10166.9,3122.2,13289.1,6028.6,786.9,92.8,498.2,4809.9,1510.1,38212.7,6419.1,143.4,68.2,62.2,590.0,15.5,3226.6,488.7,55.9,1207.3,414.8,1813.6,7942.8,1115.5,241.5,6635.3,3826.4,10461.7,6576.7,829.1,50.7,167.5,1023.9,1800.5,36772.4,1440.3,21370.7,24016.9,-2646.2,2392.4,4093.1,-1700.7,22049.4,9481.3,17693.9,-8212.6,7945.7,3686.3,561.2,12193.2,-516.0,-3686.3,-4202.3,16395.5,13796.7,6975.6,6821.1,59653.8,7305.3,-2188.3,64770.8,81292.2,-12908.0,68384.2,-3613.4,11390.6,11390.6,-571.4,10087.4,76.3,142.1,9869.0,10087.4
Million Dollars,2011-12-31,144287.9,120780.8,23507.1,805.8,146.1,113.3,92.7,472.9,78.7,3817.2,849.2,145.3,164.6,687.3,1253.4,7674.6,65.1,2482.3,10091.6,3083.5,13175.1,5692.3,679.7,93.0,526.3,4705.8,1578.3,37624.4,6510.5,147.1,71.0,55.8,614.5,16.4,3515.3,491.7,64.4,1213.3,413.5,2029.1,8485.0,1121.1,204.3,6508.6,4060.4,10569.0,7266.1,768.1,64.6,178.1,923.2,1830.0,38067.1,-442.7,19568.3,24221.3,-4653.0,2049.8,3871.0,-1821.2,16590.2,8710.0,17976.7,-9266.7,-14017.4,2886.9,4086.4,-7044.1,-1274.9,-329.9,-1604.8,-5439.3,8372.9,4549.7,3823.2,-17111.0,3607.6,-9674.0,-23177.4,-36855.3,-15237.4,-52092.7,28915.3,18032.5,18032.5,1141.8,-300.5,-28.2,27.5,-299.8,-300.5
Million Dollars,2012-03-31,144363.1,121065.8,23297.3,846.2,143.7,61.9,99.1,695.7,86.3,3537.0,1047.1,134.2,186.2,761.3,1286.4,7895.2,62.3,2375.8,10467.3,3144.8,13612.1,6123.3,958.4,95.0,466.3,4827.4,2140.8,39546.5,7009.3,140.6,38.9,63.0,775.5,21.2,3692.1,584.2,166.4,1484.7,759.2,2186.3,9771.5,1335.0,203.3,6523.4,4442.8,10966.2,6765.6,958.4,81.8,153.3,960.1,2387.7,40732.8,-1186.3,20078.9,23816.0,-3737.1,2951.1,4929.5,-1978.4,16395.5,7116.4,9169.5,-2053.1,8422.5,2700.6,14178.9,25302.0,518.1,1152.8,1670.9,23631.1,-11040.5,-2446.4,-8594.1,-27919.0,1570.9,1970.1,-24378.0,-28650.8,7934.0,-20716.8,-3661.2,9322.7,9322.7,-701.1,6371.7,-42.4,-2.4,6416.5,6371.7
Million Dollars,2012-06-30,145181.7,121481.2,23700.5,881.9,137.1,63.5,99.8,709.2,88.0,3682.0,1080.7,152.5,192.8,782.4,1399.9,8250.8,64.3,2382.9,10920.4,3142.8,14063.2,5598.7,855.8,95.6,468.8,5119.5,2127.4,40046.0,7421.8,137.8,39.9,63.0,755.9,20.7,3528.4,602.7,161.8,1533.0,780.2,2155.5,9641.1,1378.4,205.6,6565.2,4537.4,11102.6,7240.1,895.1,43.9,161.9,987.2,2396.8,41612.3,-1566.3,20737.3,24622.9,-3885.6,2818.5,4599.2,-1780.7,16467.9,4931.1,21994.7,-17063.6,2744.1,4036.5,12254.9,19035.5,1932.2,-1895.0,37.2,18998.3,-15305.0,-11486.1,-3818.9,24292.0,3610.2,7339.4,35241.6,25629.9,-3594.5,22035.4,13206.2,11322.0,11322.0,-303.4,4842.5,-12.3,54.5,4800.3,4842.5
Million Dollars,2012-09-30,137657.1,112524.0,25133.1,843.5,159.4,63.6,115.1,710.8,88.0,3647.4,1025.0,152.7,183.6,784.3,1367.6,8138.1,61.0,2118.1,10657.9,3251.7,13909.6,5677.8,832.8,96.0,487.9,4935.4,2096.3,39355.9,7370.9,137.3,40.0,76.2,743.8,20.7,3577.7,571.8,155.9,1453.1,782.2,2093.0,9514.4,1306.5,231.8,6686.1,4486.3,11172.4,7034.1,863.1,60.7,159.2,982.7,2382.0,41215.1,-1859.2,19831.1,24117.4,-4286.3,2582.2,4638.6,-2056.4,16931.2,5205.7,15808.7,-10603.0,8010.1,3929.7,16448.8,28388.6,-7873.8,9846.9,1973.1,26415.5,-12720.5,-6564.6,-6155.9,-11726.8,5408.5,3080.0,-3238.3,-5220.3,3271.1,-1949.2,-1289.1,8367.5,8367.5,-714.4,7849.3,-37.0,-10.1,7896.4,7849.3
Million Dollars,2012-12-31,136472.8,114936.5,21536.3,943.0,158.4,65.2,93.3,744.2,91.8,5585.0,1042.7,160.7,187.3,789.9,1436.0,10196.1,62.0,2176.3,10818.7,3182.7,14001.4,6087.5,749.6,96.2,499.3,5812.3,2038.7,42820.8,7072.5,142.2,41.5,68.6,781.8,22.0,3874.2,581.4,179.8,1478.4,787.7,2357.9,10173.3,1329.3,196.3,6498.4,4768.8,11267.2,7876.0,781.7,70.4,174.4,1104.2,2349.4,42536.9,283.9,20375.9,24865.3,-4489.4,2281.0,4343.2,-2062.2,15268.6,8340.7,22147.7,-13807.0,18949.0,3263.1,9200.3,31412.4,608.9,1261.9,1870.8,29541.6,-11265.4,-8081.0,-3184.4,-1079.5,8700.9,6477.6,14099.0,15439.5,9816.0,25255.5,-11156.5,1393.7,1393.7,-332.5,13542.4,-0.1,-6.9,13549.4,13542.4
Million Dollars,2013-03-31,133668.0,111623.7,22044.3,1027.8,156.6,98.1,102.4,1143.5,75.8,4875.3,1165.1,153.0,264.7,885.4,949.9,9713.2,65.1,2322.9,10036.9,2912.4,12949.3,5907.2,983.9,98.1,517.4,5370.0,2335.4,41446.9,6877.9,144.4,61.9,60.7,771.8,20.0,4043.7,634.2,65.1,2684.6,1051.2,2679.8,12073.0,1494.5,207.1,6885.3,4680.9,11566.2,7318.6,1078.5,96.6,162.6,1043.8,2941.5,45004.7,-3557.8,19741.9,25223.7,-5481.8,3584.0,5368.1,-1784.1,11220.6,11066.1,22525.6,-11459.5,10413.4,2608.0,11080.4,24101.8,1063.4,386.6,1450.0,22651.8,-3953.0,927.2,-4880.2,7103.3,7630.6,2306.8,17040.7,22817.4,-1846.2,20971.2,-3930.5,2381.6,2381.6,-121.0,8718.0,-19.4,24.8,8712.6,8718.0
Million Dollars,2013-06-30,145807.2,119787.1,26020.1,1121.9,149.8,100.1,98.2,1192.1,78.9,5082.1,1291.9,157.7,292.8,933.9,975.5,10203.2,72.3,2486.5,11827.1,2918.9,14746.0,5902.3,887.6,97.3,515.7,5817.2,2351.3,44351.1,7017.8,145.5,63.6,61.1,778.3,19.5,3789.2,703.6,64.3,2982.7,1108.6,2546.9,12117.8,1660.4,206.4,7614.3,4806.7,12421.0,7600.6,1115.8,53.1,165.2,1123.1,2975.7,46602.4,-2251.3,22323.3,26524.7,-4201.4,3068.6,5007.2,-1938.6,17628.8,11846.0,16038.6,-4192.6,-4327.4,4469.2,-2980.4,-2838.6,632.4,-3565.7,-2933.3,94.7,-2282.3,360.3,-2642.6,29242.5,13807.1,3541.9,46591.5,22772.4,4059.1,26831.5,19760.0,13019.5,13019.5,776.3,5385.6,43.5,64.7,5277.4,5385.6
Million Dollars,2013-09-30,148262.8,124162.0,24100.8,1020.7,160.8,102.1,105.2,1213.6,79.2,5108.0,1278.6,164.6,291.3,960.5,976.1,10279.2,71.6,3087.5,11900.9,3092.7,14993.6,6397.4,836.1,97.9,540.5,5500.2,2409.1,45394.6,7696.6,146.0,64.5,73.4,761.7,19.4,3776.5,696.7,62.7,2952.0,1139.9,2519.1,12065.9,1643.3,233.5,7762.9,4810.3,12573.2,7493.7,1025.8,63.5,172.2,1098.6,2949.0,47161.3,-1766.7,21683.8,26441.1,-4757.3,3024.2,5045.5,-2021.3,15555.5,20717.9,22718.9,-2001.0,-2395.5,4601.2,13958.5,16164.2,4696.6,-3356.4,1340.2,14824.0,-5331.8,915.3,-6247.1,17572.0,11405.0,-5447.8,23529.2,5813.1,8941.9,14755.0,8774.2,15350.1,15350.1,744.2,949.6,15.5,56.0,878.1,949.6
Million Dollars,2013-12-31,145339.2,118929.8,26409.4,1102.1,169.3,100.6,94.5,1220.9,78.6,5073.8,1323.8,168.1,299.8,958.4,1026.6,10345.1,74.2,2870.3,12164.5,2977.5,15142.0,5856.4,926.9,98.2,562.0,6923.7,2456.5,46526.7,7177.6,148.2,63.4,64.9,789.6,19.9,4141.4,721.1,70.5,3058.3,1137.9,2827.4,12894.4,1702.3,198.2,7676.1,5044.2,12720.3,8127.4,1037.2,73.8,179.8,1381.7,2926.4,48567.3,-2040.6,20912.7,27202.1,-6289.4,2871.9,4903.9,-2032.0,16047.4,13027.4,19287.5,-6260.1,17924.0,3735.1,18651.2,40310.3,312.2,-2559.6,-2247.4,42557.7,-1636.9,1002.5,-2639.4,26863.0,4187.6,4260.6,35311.2,57339.2,2196.9,59536.1,-24224.9,9433.3,9433.3,1063.6,7677.7,17.0,35.5,7625.2,7677.7
