Units,Timepoint,1.10: Information & Communications,1.11: Finance & Insurance,1.12: Real Estate,1.13: Professional Services,1.14: Administrative & Support Services,"1.15: Education, Health & Social Services","1.16: Arts, Entertainment, Recreation & Other Services",1.17: Others,1.1: Manufacturing,1.2: Construction,1.4: Wholesale Trade,1.5: Retail Trade,1.6: Transportation & Storage,1.8: Accommodation,1.9: Food & Beverage Services,1: Total
Number,2014-07-31,261.0,223.0,82.0,516.0,240.0,177.0,340.0,15.0,165.0,226.0,723.0,414.0,173.0,13.0,204.0,3772.0
Number,2014-08-31,278.0,240.0,69.0,524.0,221.0,179.0,238.0,20.0,167.0,204.0,774.0,452.0,164.0,7.0,231.0,3768.0
Number,2014-09-30,257.0,254.0,67.0,530.0,197.0,198.0,254.0,19.0,150.0,210.0,701.0,491.0,147.0,13.0,200.0,3688.0
Number,2014-10-31,253.0,230.0,60.0,515.0,196.0,187.0,243.0,21.0,134.0,187.0,634.0,422.0,136.0,6.0,180.0,3404.0
Number,2014-11-30,256.0,204.0,63.0,474.0,187.0,187.0,246.0,22.0,121.0,174.0,665.0,436.0,143.0,7.0,163.0,3348.0
Number,2014-12-31,260.0,264.0,62.0,555.0,204.0,191.0,224.0,31.0,160.0,190.0,693.0,494.0,132.0,1.0,212.0,3673.0
Number,2015-01-31,267.0,223.0,48.0,537.0,195.0,191.0,241.0,19.0,145.0,175.0,703.0,439.0,138.0,5.0,192.0,3518.0
Number,2015-02-28,233.0,260.0,60.0,602.0,186.0,206.0,240.0,21.0,138.0,207.0,691.0,464.0,166.0,5.0,184.0,3663.0
Number,2015-03-31,277.0,240.0,55.0,514.0,214.0,182.0,226.0,30.0,148.0,194.0,729.0,501.0,162.0,4.0,152.0,3628.0
Number,2015-04-30,241.0,220.0,49.0,518.0,196.0,172.0,223.0,19.0,152.0,195.0,679.0,473.0,136.0,3.0,171.0,3447.0
Number,2015-05-31,286.0,221.0,61.0,576.0,211.0,196.0,232.0,12.0,166.0,164.0,733.0,444.0,159.0,3.0,181.0,3645.0
Number,2015-06-30,335.0,332.0,90.0,605.0,238.0,216.0,281.0,22.0,179.0,236.0,839.0,500.0,189.0,3.0,195.0,4260.0
Number,2015-07-31,184.0,206.0,29.0,354.0,100.0,114.0,150.0,16.0,103.0,114.0,480.0,232.0,112.0,1.0,101.0,2296.0
Number,2015-08-31,433.0,284.0,84.0,826.0,331.0,294.0,421.0,26.0,207.0,301.0,1020.0,885.0,250.0,6.0,305.0,5673.0
Number,2015-09-30,333.0,220.0,76.0,642.0,259.0,198.0,306.0,11.0,176.0,201.0,753.0,648.0,180.0,5.0,196.0,4204.0
Number,2015-10-31,354.0,217.0,55.0,613.0,277.0,202.0,312.0,19.0,159.0,211.0,858.0,736.0,228.0,1.0,182.0,4424.0
Number,2015-11-30,330.0,307.0,58.0,695.0,238.0,225.0,294.0,27.0,205.0,204.0,908.0,742.0,213.0,2.0,263.0,4711.0
Number,2015-12-31,630.0,307.0,100.0,1202.0,505.0,418.0,628.0,44.0,320.0,390.0,1470.0,1856.0,415.0,10.0,390.0,8685.0
Number,2016-01-31,358.0,256.0,52.0,669.0,246.0,228.0,299.0,15.0,191.0,191.0,863.0,830.0,268.0,7.0,213.0,4686.0
Number,2016-02-29,520.0,318.0,78.0,873.0,374.0,356.0,481.0,19.0,213.0,235.0,1152.0,1350.0,317.0,9.0,262.0,6557.0
Number,2016-03-31,413.0,363.0,74.0,745.0,243.0,252.0,279.0,37.0,225.0,235.0,1016.0,622.0,262.0,5.0,276.0,5047.0
Number,2016-04-30,413.0,339.0,70.0,688.0,259.0,240.0,282.0,25.0,204.0,249.0,880.0,580.0,274.0,6.0,213.0,4722.0
Number,2016-05-31,436.0,243.0,52.0,789.0,294.0,239.0,333.0,23.0,188.0,239.0,911.0,673.0,280.0,10.0,228.0,4938.0
Number,2016-06-30,403.0,280.0,66.0,724.0,236.0,243.0,306.0,28.0,181.0,212.0,826.0,643.0,331.0,10.0,242.0,4731.0
Number,2016-07-31,377.0,238.0,47.0,727.0,249.0,243.0,327.0,27.0,166.0,213.0,776.0,651.0,350.0,10.0,197.0,4598.0
Number,2016-08-31,336.0,240.0,57.0,735.0,235.0,250.0,295.0,24.0,189.0,221.0,816.0,635.0,404.0,6.0,223.0,4666.0
Number,2016-09-30,400.0,275.0,84.0,771.0,294.0,281.0,326.0,29.0,221.0,248.0,946.0,711.0,563.0,7.0,261.0,5417.0
Number,2016-10-31,351.0,230.0,64.0,686.0,215.0,235.0,317.0,23.0,178.0,196.0,834.0,633.0,690.0,5.0,222.0,4879.0
Number,2016-11-30,343.0,266.0,55.0,762.0,242.0,256.0,292.0,24.0,170.0,209.0,852.0,655.0,883.0,4.0,210.0,5223.0
Number,2016-12-31,342.0,269.0,65.0,667.0,251.0,275.0,302.0,32.0,200.0,201.0,901.0,648.0,901.0,4.0,225.0,5283.0
Number,2017-01-31,282.0,281.0,59.0,581.0,179.0,230.0,277.0,27.0,160.0,173.0,721.0,548.0,715.0,7.0,174.0,4414.0
Number,2017-02-28,331.0,263.0,65.0,629.0,204.0,206.0,264.0,22.0,164.0,200.0,802.0,495.0,619.0,6.0,183.0,4453.0
Number,2017-03-31,343.0,296.0,50.0,612.0,190.0,220.0,228.0,34.0,147.0,198.0,762.0,494.0,506.0,3.0,192.0,4275.0
Number,2017-04-30,288.0,229.0,51.0,519.0,189.0,171.0,198.0,11.0,122.0,180.0,610.0,378.0,525.0,2.0,139.0,3612.0
Number,2017-05-31,329.0,227.0,51.0,642.0,191.0,212.0,269.0,23.0,150.0,201.0,673.0,448.0,655.0,13.0,154.0,4238.0
Number,2017-06-30,270.0,242.0,37.0,577.0,171.0,181.0,230.0,26.0,147.0,208.0,567.0,380.0,826.0,5.0,183.0,4050.0
Number,2017-07-31,230.0,228.0,55.0,462.0,173.0,141.0,224.0,20.0,140.0,150.0,583.0,386.0,541.0,7.0,169.0,3509.0
Number,2017-08-31,321.0,258.0,48.0,580.0,202.0,184.0,229.0,22.0,133.0,235.0,692.0,414.0,461.0,4.0,175.0,3958.0
Number,2017-09-30,310.0,236.0,58.0,560.0,186.0,175.0,236.0,14.0,138.0,171.0,623.0,370.0,523.0,4.0,124.0,3728.0
Number,2017-10-31,241.0,221.0,37.0,503.0,163.0,164.0,215.0,24.0,149.0,161.0,576.0,387.0,537.0,7.0,176.0,3561.0
Number,2017-11-30,344.0,297.0,84.0,619.0,214.0,205.0,250.0,25.0,155.0,192.0,754.0,446.0,609.0,4.0,266.0,4464.0
Number,2017-12-31,280.0,263.0,56.0,557.0,186.0,244.0,193.0,17.0,146.0,209.0,644.0,395.0,570.0,4.0,180.0,3944.0
Number,2018-01-31,291.0,280.0,53.0,553.0,184.0,181.0,225.0,21.0,143.0,172.0,665.0,401.0,538.0,7.0,181.0,3895.0
Number,2018-02-28,334.0,265.0,52.0,599.0,187.0,199.0,193.0,24.0,132.0,197.0,703.0,397.0,597.0,5.0,192.0,4076.0
Number,2018-03-31,272.0,251.0,53.0,562.0,181.0,181.0,228.0,19.0,172.0,212.0,686.0,444.0,672.0,6.0,169.0,4108.0
Number,2018-04-30,233.0,253.0,54.0,403.0,141.0,129.0,136.0,17.0,127.0,155.0,547.0,213.0,213.0,10.0,103.0,2734.0
Number,2018-05-31,347.0,266.0,59.0,644.0,227.0,206.0,302.0,18.0,193.0,272.0,797.0,497.0,907.0,9.0,241.0,4985.0
Number,2018-06-30,242.0,234.0,58.0,421.0,142.0,164.0,178.0,9.0,121.0,147.0,562.0,321.0,465.0,4.0,149.0,3217.0
Number,2018-07-31,285.0,257.0,50.0,501.0,182.0,165.0,179.0,22.0,120.0,165.0,622.0,338.0,480.0,5.0,158.0,3529.0
Number,2018-08-31,270.0,242.0,44.0,477.0,149.0,187.0,204.0,27.0,144.0,148.0,566.0,346.0,496.0,4.0,177.0,3481.0
Number,2018-09-30,255.0,221.0,48.0,481.0,146.0,156.0,158.0,32.0,122.0,152.0,672.0,321.0,399.0,6.0,174.0,3343.0
Number,2018-10-31,273.0,267.0,48.0,502.0,140.0,138.0,193.0,19.0,117.0,153.0,652.0,363.0,386.0,1.0,174.0,3426.0
Number,2018-11-30,338.0,301.0,75.0,614.0,196.0,169.0,226.0,25.0,154.0,192.0,650.0,428.0,413.0,3.0,224.0,4008.0
Number,2018-12-31,326.0,290.0,55.0,614.0,217.0,167.0,248.0,20.0,161.0,227.0,689.0,420.0,383.0,7.0,190.0,4014.0
Number,2019-01-31,326.0,286.0,49.0,535.0,183.0,183.0,205.0,13.0,125.0,168.0,632.0,343.0,327.0,7.0,147.0,3529.0
Number,2019-02-28,258.0,255.0,41.0,458.0,123.0,146.0,128.0,24.0,102.0,106.0,602.0,208.0,133.0,3.0,141.0,2728.0
Number,2019-03-31,364.0,242.0,59.0,616.0,207.0,246.0,318.0,25.0,162.0,232.0,698.0,545.0,575.0,5.0,231.0,4525.0
Number,2019-04-30,390.0,280.0,47.0,605.0,209.0,220.0,252.0,29.0,165.0,194.0,740.0,405.0,389.0,9.0,188.0,4122.0
Number,2019-05-31,413.0,330.0,77.0,767.0,258.0,259.0,313.0,22.0,212.0,273.0,829.0,557.0,484.0,8.0,246.0,5048.0
Number,2019-06-30,333.0,224.0,38.0,605.0,205.0,225.0,275.0,18.0,154.0,223.0,618.0,449.0,393.0,4.0,206.0,3970.0
Number,2019-07-31,363.0,315.0,46.0,656.0,194.0,224.0,238.0,21.0,163.0,225.0,787.0,446.0,397.0,4.0,216.0,4295.0
Number,2019-08-31,362.0,233.0,35.0,589.0,185.0,187.0,248.0,22.0,132.0,190.0,668.0,403.0,390.0,10.0,203.0,3857.0
Number,2019-09-30,349.0,214.0,40.0,505.0,207.0,195.0,230.0,19.0,125.0,195.0,649.0,430.0,397.0,9.0,224.0,3788.0
Number,2019-10-31,364.0,308.0,54.0,537.0,179.0,196.0,229.0,25.0,149.0,167.0,648.0,451.0,359.0,10.0,189.0,3865.0
Number,2019-11-30,328.0,288.0,51.0,589.0,186.0,199.0,227.0,25.0,141.0,165.0,660.0,460.0,324.0,5.0,170.0,3818.0
Number,2019-12-31,324.0,272.0,48.0,575.0,178.0,215.0,212.0,16.0,134.0,193.0,673.0,413.0,323.0,3.0,197.0,3776.0
Number,2020-01-31,360.0,245.0,51.0,560.0,175.0,179.0,234.0,20.0,148.0,193.0,706.0,422.0,316.0,5.0,189.0,3803.0
Number,2020-02-29,356.0,222.0,42.0,523.0,170.0,191.0,183.0,26.0,133.0,160.0,660.0,416.0,332.0,5.0,176.0,3595.0
Number,2020-03-31,371.0,264.0,44.0,573.0,169.0,203.0,234.0,15.0,150.0,194.0,620.0,387.0,303.0,8.0,191.0,3726.0
Number,2020-04-30,349.0,304.0,61.0,573.0,172.0,212.0,172.0,24.0,149.0,158.0,681.0,344.0,306.0,7.0,158.0,3670.0
Number,2020-05-31,533.0,240.0,60.0,518.0,151.0,173.0,200.0,18.0,124.0,158.0,585.0,364.0,304.0,4.0,146.0,3578.0
Number,2020-06-30,461.0,245.0,47.0,606.0,153.0,194.0,171.0,22.0,159.0,170.0,664.0,379.0,270.0,7.0,173.0,3721.0
Number,2020-07-31,474.0,269.0,56.0,624.0,193.0,195.0,210.0,36.0,112.0,189.0,694.0,394.0,294.0,6.0,188.0,3934.0
Number,2020-08-31,69.0,33.0,10.0,176.0,79.0,63.0,127.0,3.0,73.0,52.0,178.0,209.0,184.0,2.0,74.0,1332.0
Number,2020-09-30,654.0,427.0,67.0,833.0,214.0,278.0,255.0,32.0,168.0,176.0,830.0,442.0,345.0,8.0,215.0,4944.0
Number,2020-10-31,218.0,132.0,21.0,343.0,118.0,140.0,171.0,2.0,97.0,98.0,342.0,295.0,212.0,10.0,103.0,2302.0
Number,2020-11-30,431.0,254.0,53.0,531.0,170.0,183.0,195.0,25.0,141.0,168.0,608.0,395.0,267.0,5.0,199.0,3625.0
Number,2020-12-31,437.0,293.0,72.0,649.0,224.0,241.0,258.0,30.0,177.0,205.0,726.0,449.0,250.0,11.0,222.0,4244.0
Number,2021-01-31,364.0,223.0,54.0,573.0,183.0,188.0,205.0,24.0,167.0,169.0,593.0,355.0,255.0,5.0,163.0,3521.0
Number,2021-02-28,421.0,285.0,43.0,502.0,176.0,166.0,171.0,26.0,117.0,152.0,628.0,360.0,222.0,9.0,169.0,3447.0
Number,2021-03-31,527.0,318.0,47.0,635.0,191.0,232.0,235.0,27.0,184.0,189.0,720.0,460.0,242.0,12.0,214.0,4233.0
Number,2021-04-30,417.0,285.0,59.0,618.0,213.0,216.0,226.0,22.0,161.0,173.0,661.0,391.0,255.0,8.0,174.0,3879.0
Number,2021-05-31,616.0,353.0,45.0,691.0,207.0,225.0,266.0,27.0,176.0,224.0,856.0,476.0,315.0,8.0,220.0,4705.0
Number,2021-06-30,396.0,282.0,33.0,601.0,213.0,239.0,221.0,24.0,151.0,180.0,690.0,467.0,273.0,2.0,247.0,4019.0
Number,2021-07-31,568.0,332.0,57.0,697.0,211.0,224.0,270.0,29.0,179.0,207.0,875.0,520.0,295.0,6.0,227.0,4697.0
Number,2021-08-31,449.0,322.0,57.0,674.0,196.0,202.0,210.0,25.0,178.0,204.0,752.0,459.0,277.0,6.0,227.0,4238.0
Number,2021-09-30,400.0,287.0,43.0,561.0,203.0,191.0,240.0,24.0,156.0,164.0,750.0,439.0,243.0,8.0,201.0,3910.0
Number,2021-10-31,397.0,301.0,46.0,594.0,160.0,209.0,242.0,26.0,161.0,160.0,728.0,482.0,243.0,9.0,224.0,3982.0
Number,2021-11-30,435.0,299.0,61.0,579.0,176.0,165.0,210.0,25.0,177.0,171.0,822.0,414.0,252.0,11.0,211.0,4008.0
Number,2021-12-31,386.0,316.0,44.0,616.0,196.0,231.0,251.0,30.0,161.0,186.0,758.0,466.0,236.0,6.0,179.0,4062.0
Number,2022-01-31,594.0,249.0,38.0,537.0,164.0,172.0,214.0,25.0,145.0,174.0,691.0,410.0,220.0,8.0,212.0,3853.0
Number,2022-02-28,373.0,278.0,40.0,582.0,197.0,207.0,206.0,24.0,151.0,183.0,679.0,411.0,216.0,7.0,212.0,3766.0
Number,2022-03-31,379.0,268.0,48.0,637.0,166.0,200.0,223.0,26.0,164.0,187.0,752.0,473.0,253.0,4.0,214.0,3994.0
Number,2022-04-30,416.0,305.0,48.0,667.0,219.0,226.0,259.0,24.0,219.0,189.0,752.0,538.0,276.0,4.0,243.0,4385.0
Number,2022-05-31,411.0,282.0,49.0,655.0,200.0,190.0,203.0,27.0,167.0,246.0,767.0,471.0,273.0,8.0,230.0,4179.0
Number,2022-06-30,418.0,226.0,48.0,556.0,152.0,209.0,256.0,24.0,197.0,161.0,709.0,491.0,276.0,4.0,176.0,3903.0
Number,2022-07-31,421.0,303.0,46.0,670.0,196.0,211.0,273.0,19.0,189.0,201.0,819.0,449.0,282.0,13.0,209.0,4301.0
Number,2022-08-31,481.0,240.0,51.0,610.0,191.0,214.0,236.0,19.0,181.0,208.0,751.0,517.0,258.0,4.0,240.0,4201.0
Number,2022-09-30,453.0,294.0,45.0,670.0,224.0,194.0,278.0,32.0,176.0,227.0,816.0,504.0,272.0,11.0,243.0,4439.0
Number,2022-10-31,431.0,358.0,52.0,637.0,187.0,223.0,236.0,34.0,182.0,196.0,738.0,547.0,273.0,2.0,286.0,4382.0
Number,2022-11-30,463.0,293.0,43.0,675.0,222.0,217.0,272.0,36.0,165.0,209.0,817.0,520.0,254.0,10.0,275.0,4471.0
Number,2022-12-31,405.0,290.0,48.0,612.0,178.0,197.0,209.0,19.0,194.0,155.0,662.0,503.0,214.0,5.0,209.0,3900.0
Number,2023-01-31,392.0,264.0,50.0,569.0,189.0,186.0,228.0,15.0,161.0,179.0,742.0,442.0,234.0,10.0,186.0,3847.0
Number,2023-02-28,363.0,263.0,40.0,491.0,160.0,172.0,204.0,21.0,158.0,202.0,644.0,351.0,192.0,7.0,195.0,3463.0
Number,2023-03-31,479.0,330.0,54.0,655.0,214.0,218.0,240.0,27.0,203.0,183.0,804.0,474.0,286.0,7.0,222.0,4396.0
Number,2023-04-30,535.0,327.0,59.0,759.0,211.0,231.0,280.0,36.0,180.0,212.0,887.0,516.0,249.0,14.0,228.0,4724.0
Number,2023-05-31,484.0,241.0,50.0,568.0,176.0,200.0,246.0,34.0,170.0,165.0,592.0,465.0,228.0,3.0,222.0,3844.0
